file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-256029.cif,Li4 F12 Ti2,18,-3.266965539537037,"['Li', 'Ti']",['F'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-254370.cif,Ta6 Ba3 V6 O33,48,-2.8163551167708336,['Ta'],['O'],"[3, 4, 5, 6, 7, 8]",perovskite
ICSD-410934.cif,Mn12 Si4 O16 F8,40,-2.063375704189656,['Mn'],"['O', 'F']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-609280.cif,Al6 Zn3 S12,21,-1.062945909285714,['Al'],['S'],"[0, 1, 2]",perovskite
ICSD-413082.cif,Ag6 Mo2 Cl F3 O7,19,-1.2937161422368415,['Cl'],['Ag'],[8],anti-perovskite
ICSD-414042.cif,Ru4 Br12,16,-0.49660194875,['Ru'],['Br'],"[0, 1, 2, 3]",perovskite
ICSD-423430.cif,Pb12 B6 O18 F6,42,-1.9251898073214293,['F'],['Pb'],"[40, 41]",anti-perovskite
ICSD-624859.cif,Co8 S8 Sb8,24,-0.7923463533333331,['Co'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-434114.cif,Os6 Sr10 O26,42,-1.9678511183333336,['Os'],['O'],"[10, 11, 12, 13, 14, 15]",perovskite
ICSD-420953.cif,Sc6 Al6 O10 C4,26,-2.303355504038462,['Sc'],"['O', 'C']","[0, 1, 2, 3, 4, 5]",perovskite
ICSD-419683.cif,Sc6 Al6 O6 C6,24,-1.6943006952083337,['Sc'],"['O', 'C']","[0, 1, 2, 3, 4, 5]",perovskite
ICSD-257078.cif,Pb8 Co8 O24,40,-1.29876254275,['Co'],['O'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-409840.cif,W4 K8 Cl24,36,-1.3115900119444446,['W'],['Cl'],"[8, 9, 10, 11]",perovskite
ICSD-413464.cif,In2 Ba2 Co8 O14,26,-1.6093648134615388,['In'],['O'],"[2, 3]",perovskite
ICSD-257851.cif,V4 Na8 Ca4 F4 O16,36,-2.672019064305556,['F'],"['Na', 'Ca']","[32, 33, 34, 35]",anti-perovskite
ICSD-650286.cif,Rh8 Se16,24,-0.5328421906944444,['Rh'],['Se'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-602266.cif,In2 Se3,5,-0.4805404640000006,['Se'],['In'],[2],anti-perovskite
ICSD-258693.cif,Sr4 Cu2 Te2 O12,20,-1.7983399799166668,['Te'],['O'],"[6, 7]",perovskite
ICSD-416147.cif,Hg4 Cr4 O16,24,-1.2527889212500003,['Hg'],['O'],"[4, 5, 6, 7]",perovskite
ICSD-408193.cif,Ag2 Ba Mn V2 O8,14,-1.9342974295689663,['Mn'],['O'],[1],perovskite
ICSD-652055.cif,Ti12 Se12,24,-0.9498571108333328,['Ti'],['Se'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",perovskite
ICSD-300207.cif,In4 Sb4 S12,20,-0.5714196999999999,['In'],['S'],"[0, 1, 2, 3]",perovskite
ICSD-409671.cif,Ga4 O8 H4,16,-1.5120880946875,['Ga'],['O'],"[0, 1, 2, 3]",perovskite
ICSD-611203.cif,Pd4 As4 Se4,12,-0.3714311455555552,['Pd'],"['Se', 'As']","[4, 5, 6, 7]",perovskite
ICSD-409632.cif,W4 Rb8 Cl24,36,-1.3369621511111107,['W'],['Cl'],"[8, 9, 10, 11]",perovskite
ICSD-619570.cif,Ca4 Se4,8,-2.029400938333333,['Ca'],['Se'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-617052.cif,Bi3 Tl3 S6,12,-0.5542796837500005,"['Bi', 'Tl']",['S'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-416170.cif,V4 O20 Na20,44,-1.923865282272727,['O'],['Na'],"[40, 41, 42, 43]",anti-perovskite
ICSD-417150.cif,Ta8 Fe2 S16,26,-1.3017309738461544,['Fe'],['S'],"[8, 9]",perovskite
ICSD-651059.cif,S4 Sr4,8,-2.28796551875,['Sr'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-419862.cif,Mg3 Ba9 Si6 O24,42,-2.9429503101190475,['Mg'],['O'],"[9, 10, 11]",perovskite
ICSD-257251.cif,Li4 Fe4 P4 O16,28,-2.22300989329932,"['Li', 'Fe']",['O'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-259381.cif,Ba8 Mg4 Os4 O24,40,-2.1812702987499994,"['Mg', 'Os']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-603572.cif,Ta2 O4,6,-2.6447044633333348,['Ta'],['O'],"[0, 1]",perovskite
ICSD-426821.cif,Li8 B4 F20,32,-2.939346915364584,['Li'],['F'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-279639.cif,Sb4 Cl24 N4 C4,36,-0.3500190705555555,['Sb'],"['N', 'Cl']","[0, 1, 2, 3]",perovskite
ICSD-261371.cif,Na4 Ir4 O12,20,-1.1051316720000002,['Ir'],['O'],"[4, 5, 6, 7]",perovskite
