rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.3470553545422115
2,DemlData std_dev electronegativity formula,other,0.09189569322365884
3,PymatgenData std_dev X formula,other,0.06879170628782735
4,MagpieData avg_dev NdValence formula,d_valence,0.054892808153500824
5,MagpieData range CovalentRadius formula,covalent_radius,0.04565468805749056
6,MagpieData mean SpaceGroupNumber formula,other,0.030331900085976006
7,MagpieData mean NdValence formula,d_valence,0.029189643779201947
8,local_difference_in_NdValence_allsites,local_difference:d_valence,0.02799860163811599
9,MagpieData maximum GSbandgap formula,bandgap,0.023969276543747482
10,MagpieData maximum NdValence formula,d_valence,0.019480959892157146
11,MagpieData range NdValence formula,d_valence,0.018451502257030707
12,MagpieData range GSbandgap formula,bandgap,0.013806047782627331
13,MagpieData range NUnfilled formula,unfilled,0.013480031508288628
14,MagpieData mean NUnfilled formula,unfilled,0.009724492747342647
15,DemlData mean first_ioniz formula,other,0.007227593626482731
16,MagpieData range SpaceGroupNumber formula,other,0.006450744109046748
17,MagpieData mode Electronegativity formula,electronegativity,0.006294187702582607
18,DemlData minimum molar_vol formula,other,0.006124789505424674
19,MagpieData avg_dev NUnfilled formula,unfilled,0.006085559889115811
20,local_difference_in_Electronegativity,local_difference:electronegativity,0.0056730200159613555
21,MagpieData range NdUnfilled formula,d_unfilled,0.005568952805673646
22,MagpieData avg_dev GSbandgap formula,bandgap,0.0044096548212157576
23,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.003952086842465979
24,DemlData range first_ioniz formula,other,0.0038016725425366596
25,MagpieData maximum NdUnfilled formula,d_unfilled,0.0037215274221588275
26,coval_r_B_coval_r_X,covalent_radius,0.003588018624771713
27,MagpieData mean NsValence formula,s_valence,0.0035520164529325585
28,MagpieData avg_dev NsValence formula,s_valence,0.003053262164054557
29,MagpieData maximum NUnfilled formula,unfilled,0.002967177684734768
30,PymatgenData minimum thermal_conductivity formula,other,0.002831322394433068
31,MagpieData mode SpaceGroupNumber formula,other,0.0028166160009577526
32,MagpieData maximum MendeleevNumber formula,other,0.0027658370697414597
33,pymatgen_B_poissons_ratio,other,0.0024501060711575096
34,mean Average bond length,other,0.002060417602385917
35,DemlData std_dev first_ioniz formula,other,0.0020460719183721943
36,MagpieData mean NValence formula,valence,0.0018878765241401232
37,std_dev ewald_site_energy,ewald,0.0018129253041204493
38,DemlData std_dev boiling_point formula,other,0.0017008293611200122
39,min_bondlength,other,0.0016112190459809863
40,DemlData mean boiling_point formula,other,0.0016101491367432024
41,oct_mean_bond,other,0.0016100105417058154
42,mean ewald_site_energy,ewald,0.0015313754900631988
43,MagpieData maximum NUnfilled _B,unfilled,0.001470789024460923
44,vpa,other,0.0014539738031379473
45,density,density,0.0014512391902314456
46,MagpieData minimum NValence formula,valence,0.001424506479129048
47,MagpieData maximum CovalentRadius formula,covalent_radius,0.0014236291464018828
48,MagpieData mean GSbandgap formula,bandgap,0.001361027014408621
49,MagpieData avg_dev MeltingT formula,other,0.0013433381404502746
50,MagpieData mean GSbandgap _X,bandgap,0.0012973429948374
51,MagpieData avg_dev NpValence formula,p_valence,0.0012878658800776516
52,local_difference_in_Electronegativity_allsites,local_difference:electronegativity,0.0012245234976385466
53,local_difference_in_CovalentRadius_allsites,local_difference:covalent_radius,0.001214885915218971
54,DemlData range boiling_point formula,other,0.0011739177523922412
55,site_EwaldSiteEnergy,ewald,0.001157226659817049
56,MagpieData minimum NUnfilled formula,unfilled,0.0011066444718325443
