split_id,mae,mse,rmse,r2
1,0.06999368480539431,0.013183998987305908,0.1148215963453997,0.981947456327851
2,0.07728353646929698,0.01963018941061503,0.14010777783768832,0.9758194269704896
3,0.08150181371168867,0.0196869565434483,0.1403102153923523,0.9755782049198644
4,0.07650960565233111,0.015335464491333224,0.1238364425011201,0.979040446142209
5,0.10280100815038042,0.04702472077218429,0.2168518406013292,0.9408736871463961
