rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.3449227788620182
2,DemlData std_dev electronegativity formula,other,0.10631625154447595
3,PymatgenData std_dev X formula,other,0.05886854350202706
4,MagpieData avg_dev NdValence formula,d_valence,0.05494448726614522
5,MagpieData range CovalentRadius formula,covalent_radius,0.045410829755917405
6,MagpieData mean SpaceGroupNumber formula,other,0.029681001468046316
7,local_difference_in_NdValence_allsites,local_difference:d_valence,0.028137309835869356
8,MagpieData mean NdValence formula,d_valence,0.02728676867642089
9,MagpieData maximum GSbandgap formula,bandgap,0.026244399769249176
10,MagpieData range NdValence formula,d_valence,0.018862068340400065
11,MagpieData maximum NdValence formula,d_valence,0.018805174724648027
12,MagpieData range NUnfilled formula,unfilled,0.013584414186990402
13,MagpieData range GSbandgap formula,bandgap,0.01160047933789064
14,MagpieData mean NUnfilled formula,unfilled,0.00966517425026674
15,DemlData mean first_ioniz formula,other,0.0071012601605314595
16,MagpieData range SpaceGroupNumber formula,other,0.006562136447649328
17,MagpieData avg_dev NUnfilled formula,unfilled,0.006248216851739373
18,DemlData minimum molar_vol formula,other,0.00617377067341909
19,MagpieData mode Electronegativity formula,electronegativity,0.0059196542029350836
20,local_difference_in_Electronegativity,local_difference:electronegativity,0.00550622212262907
21,MagpieData range NdUnfilled formula,d_unfilled,0.004564829190838918
22,MagpieData maximum NdUnfilled formula,d_unfilled,0.004327768176544735
23,MagpieData avg_dev GSbandgap formula,bandgap,0.004207590778604553
24,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.004063183159038924
25,DemlData range first_ioniz formula,other,0.003977776671524378
26,MagpieData mean NsValence formula,s_valence,0.003823273080037036
27,coval_r_B_coval_r_X,covalent_radius,0.0035140284116616043
28,MagpieData maximum NUnfilled formula,unfilled,0.0034909482949271806
29,MagpieData avg_dev NsValence formula,s_valence,0.003059469862175367
30,PymatgenData minimum thermal_conductivity formula,other,0.0028922010422742827
31,MagpieData maximum MendeleevNumber formula,other,0.002887093925778691
32,MagpieData mode SpaceGroupNumber formula,other,0.0027139453386223183
33,pymatgen_B_poissons_ratio,other,0.0023319410557698706
34,mean Average bond length,other,0.0020257300625372713
35,DemlData std_dev first_ioniz formula,other,0.001996125963638107
36,min_bondlength,other,0.0018532492247040407
37,MagpieData mean NValence formula,valence,0.001831638085669227
38,std_dev ewald_site_energy,ewald,0.0016745594086106101
39,DemlData mean boiling_point formula,other,0.0016289621208604352
40,DemlData std_dev boiling_point formula,other,0.0015957235548080414
41,oct_mean_bond,other,0.0015758180488699308
42,MagpieData minimum NValence formula,valence,0.0015602495047453927
43,MagpieData maximum CovalentRadius formula,covalent_radius,0.001549920128292543
44,MagpieData maximum NUnfilled _B,unfilled,0.0014487043840285402
45,MagpieData mean GSbandgap formula,bandgap,0.0014299312639954986
46,vpa,other,0.0014176420289941005
47,density,density,0.0014114884978019882
48,MagpieData avg_dev NpValence formula,p_valence,0.0013504464203248612
49,mean ewald_site_energy,ewald,0.0013319803164190602
50,MagpieData avg_dev MeltingT formula,other,0.001296600551659138
51,MagpieData mean GSbandgap _X,bandgap,0.0012136003966919232
52,local_difference_in_Electronegativity_allsites,local_difference:electronegativity,0.0011994250448222892
53,local_difference_in_CovalentRadius_allsites,local_difference:covalent_radius,0.0011840414865336279
54,MagpieData avg_dev NsUnfilled formula,s_unfilled,0.0011566853858718733
55,MagpieData minimum NUnfilled formula,unfilled,0.0011360784769823566
56,MagpieData mean NpValence formula,p_valence,0.0011333929199220413
57,site_EwaldSiteEnergy,ewald,0.0011308467303472816
58,ewald_energy_per_atom,ewald,0.001128443567686707
59,DemlData range boiling_point formula,other,0.0011144408235701747
60,MagpieData avg_dev NValence formula,valence,0.0011079022446492848
61,MagpieData mean CovalentRadius formula,covalent_radius,0.0010700566569081585
