rank,feature,family,importance
84,(B_ionic_radius)/(MagpieData mean CovalentRadius _X),covalent_radius,0.0004982594312259806
85,EnB/SIrB,electronegativity_shannon_radius_ratio,0.0004689788658296146
86,(B_ionic_radius)/(MagpieData maximum CovalentRadius _B),covalent_radius,0.00042302226095749954
87,(MagpieData maximum NUnfilled _B)/(B_shannon_rad),shannon_radius,0.00041508889078413925
88,(MagpieData maximum NUnfilled _B)/(MagpieData maximum GSvolume_pa _B),unfilled,0.0004008794131760797
89,coval_r_6X-B,covalent_radius_contrast,0.0003901650499758465
90,(MagpieData maximum NUnfilled _B)/(X_shannon_rad),shannon_radius,0.00037427613705806725
91,(MagpieData maximum NUnfilled _B)/(MagpieData maximum CovalentRadius _B),covalent_radius,0.00035544538733947193
92,MagpieData mean GSbandgap _X,bandgap,0.00033792124399546937
93,(MagpieData maximum NUnfilled _B)/(B_ionic_radius),ionic_radius,0.00033128477217290217
94,I_r_6X-B,ionic_radius_contrast,0.0003258289063138053
95,(coval_r_B_coval_r_X)/(MagpieData mean GSvolume_pa _X),covalent_radius,0.0003044390939577599
96,(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _B),covalent_radius,0.00029923756497058225
97,(MagpieData mean GSbandgap _X)/(X_shannon_rad),shannon_radius,0.00029797769465413234
98,(coval_r_B_coval_r_X)/(MagpieData maximum CovalentRadius _B),covalent_radius,0.00028645271871674527
99,(MagpieData mean GSbandgap _X)/(B_shannon_rad),shannon_radius,0.0002646240525108331
100,(coval_r_B_coval_r_X)/(X_ionic_radius),covalent_radius,0.00025385756759756164
101,I_r_X-B,ionic_radius_contrast,0.0002534836507612615
102,(coval_r_B_coval_r_X)-(MagpieData mean CovalentRadius _B),covalent_radius,0.00021828902926357912
103,(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _B),unfilled,0.00017434223180379295
104,Ir_B_Ir_X,ionic_radius_ratio,0.00014257270129591342
105,cr_B_cr_X,covalent_radius_ratio,0.00014176586601449015
106,(B_ionic_radius)/(X_ionic_radius),ionic_radius,0.0001414132629758104
107,(MagpieData mean GSbandgap _X)/(MagpieData mean CovalentRadius _X),covalent_radius,0.00013202762708844793
108,coval_r_B_coval_r_X,covalent_radius,0.0001290770023951826
109,(B_ionic_radius)-(X_ionic_radius),ionic_radius,0.0001195843079508047
110,MagpieData maximum NUnfilled _B,unfilled,0.00010997244988679729
111,EnX/SIrX,electronegativity_shannon_radius_ratio,0.00010872410256003468
112,(coval_r_B_coval_r_X)/(MagpieData mean CovalentRadius _B),covalent_radius,7.547382455671677e-05
113,EnX/IrX,electronegativity_ionic_radius_ratio,4.8349060687790867e-05
114,(MagpieData mean GSbandgap _X)/(MagpieData mean GSvolume_pa _X),bandgap,3.380053031422466e-05
115,EnX/rX,electronegativity_covalent_radius_ratio,2.15368606071677e-05
116,(MagpieData mean GSbandgap _X)/(X_ionic_radius),ionic_radius,5.02141787194087e-06
