feature,stage,complexity,formula,parents,template_rule,required_manuscript_template,protected_anchor,family,unit_group,parent_families,parent_unit_groups,parent_scopes
MagpieData minimum SpaceGroupNumber formula,raw,0,MagpieData minimum SpaceGroupNumber formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode AtomicWeight _B,raw,0,MagpieData mode AtomicWeight _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode AtomicWeight _X,raw,0,MagpieData mode AtomicWeight _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode AtomicWeight formula,raw,0,MagpieData mode AtomicWeight formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Column _B,raw,0,MagpieData mode Column _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Column _X,raw,0,MagpieData mode Column _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Column formula,raw,0,MagpieData mode Column formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode CovalentRadius _B,raw,0,MagpieData mode CovalentRadius _B,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData mode CovalentRadius _X,raw,0,MagpieData mode CovalentRadius _X,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData mode CovalentRadius formula,raw,0,MagpieData mode CovalentRadius formula,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData mode Electronegativity _B,raw,0,MagpieData mode Electronegativity _B,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData mode Electronegativity _X,raw,0,MagpieData mode Electronegativity _X,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData mode Electronegativity formula,raw,0,MagpieData mode Electronegativity formula,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData mode GSbandgap _B,raw,0,MagpieData mode GSbandgap _B,,source_feature,False,False,bandgap,energy_like,,,
MagpieData mode GSbandgap _X,raw,0,MagpieData mode GSbandgap _X,,source_feature,False,False,bandgap,energy_like,,,
MagpieData mode GSbandgap formula,raw,0,MagpieData mode GSbandgap formula,,source_feature,False,False,bandgap,energy_like,,,
MagpieData mode GSmagmom _B,raw,0,MagpieData mode GSmagmom _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode GSmagmom _X,raw,0,MagpieData mode GSmagmom _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode GSmagmom formula,raw,0,MagpieData mode GSmagmom formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode GSvolume_pa _B,raw,0,MagpieData mode GSvolume_pa _B,,source_feature,False,False,volume,length_like,,,
MagpieData mode GSvolume_pa _X,raw,0,MagpieData mode GSvolume_pa _X,,source_feature,False,False,volume,length_like,,,
MagpieData mode GSvolume_pa formula,raw,0,MagpieData mode GSvolume_pa formula,,source_feature,False,False,volume,length_like,,,
MagpieData mode MeltingT _B,raw,0,MagpieData mode MeltingT _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode MeltingT _X,raw,0,MagpieData mode MeltingT _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode MeltingT formula,raw,0,MagpieData mode MeltingT formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode MendeleevNumber _B,raw,0,MagpieData mode MendeleevNumber _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode MendeleevNumber _X,raw,0,MagpieData mode MendeleevNumber _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode MendeleevNumber formula,raw,0,MagpieData mode MendeleevNumber formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode NUnfilled _B,raw,0,MagpieData mode NUnfilled _B,,source_feature,False,False,unfilled,electron_count,,,
MagpieData mode NUnfilled _X,raw,0,MagpieData mode NUnfilled _X,,source_feature,False,False,unfilled,electron_count,,,
MagpieData mode NUnfilled formula,raw,0,MagpieData mode NUnfilled formula,,source_feature,False,False,unfilled,electron_count,,,
MagpieData mode NValence _B,raw,0,MagpieData mode NValence _B,,source_feature,False,False,valence,electron_count,,,
MagpieData mode NValence _X,raw,0,MagpieData mode NValence _X,,source_feature,False,False,valence,electron_count,,,
MagpieData mode NValence formula,raw,0,MagpieData mode NValence formula,,source_feature,False,False,valence,electron_count,,,
MagpieData mode NdUnfilled _B,raw,0,MagpieData mode NdUnfilled _B,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData mode NdUnfilled _X,raw,0,MagpieData mode NdUnfilled _X,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData mode NdUnfilled formula,raw,0,MagpieData mode NdUnfilled formula,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData mode NdValence _B,raw,0,MagpieData mode NdValence _B,,source_feature,False,False,d_valence,electron_count,,,
MagpieData mode NdValence _X,raw,0,MagpieData mode NdValence _X,,source_feature,False,False,d_valence,electron_count,,,
MagpieData mode NdValence formula,raw,0,MagpieData mode NdValence formula,,source_feature,False,False,d_valence,electron_count,,,
MagpieData mode NfValence _B,raw,0,MagpieData mode NfValence _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode NfValence _X,raw,0,MagpieData mode NfValence _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode NfValence formula,raw,0,MagpieData mode NfValence formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode NpUnfilled _B,raw,0,MagpieData mode NpUnfilled _B,,source_feature,False,False,p_unfilled,dimensionless,,,
MagpieData mode NpUnfilled _X,raw,0,MagpieData mode NpUnfilled _X,,source_feature,False,False,p_unfilled,dimensionless,,,
MagpieData mode NpUnfilled formula,raw,0,MagpieData mode NpUnfilled formula,,source_feature,False,False,p_unfilled,dimensionless,,,
