feature,stage,complexity,formula,parents,template_rule,required_manuscript_template,protected_anchor,family,unit_group,parent_families,parent_unit_groups,parent_scopes
PymatgenData minimum atomic_mass formula,raw,0,PymatgenData minimum atomic_mass formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum atomic_radius _B,raw,0,PymatgenData minimum atomic_radius _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum atomic_radius _X,raw,0,PymatgenData minimum atomic_radius _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum atomic_radius formula,raw,0,PymatgenData minimum atomic_radius formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum block _B,raw,0,PymatgenData minimum block _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum block _X,raw,0,PymatgenData minimum block _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum block formula,raw,0,PymatgenData minimum block formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum group _B,raw,0,PymatgenData minimum group _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum group _X,raw,0,PymatgenData minimum group _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum group formula,raw,0,PymatgenData minimum group formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum melting_point _B,raw,0,PymatgenData minimum melting_point _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum melting_point _X,raw,0,PymatgenData minimum melting_point _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum melting_point formula,raw,0,PymatgenData minimum melting_point formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum mendeleev_no _B,raw,0,PymatgenData minimum mendeleev_no _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum mendeleev_no _X,raw,0,PymatgenData minimum mendeleev_no _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum mendeleev_no formula,raw,0,PymatgenData minimum mendeleev_no formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum row _B,raw,0,PymatgenData minimum row _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum row _X,raw,0,PymatgenData minimum row _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum row formula,raw,0,PymatgenData minimum row formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum thermal_conductivity _B,raw,0,PymatgenData minimum thermal_conductivity _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum thermal_conductivity _X,raw,0,PymatgenData minimum thermal_conductivity _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum thermal_conductivity formula,raw,0,PymatgenData minimum thermal_conductivity formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range X _B,raw,0,PymatgenData range X _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range X _X,raw,0,PymatgenData range X _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range X formula,raw,0,PymatgenData range X formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_mass _B,raw,0,PymatgenData range atomic_mass _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_mass _X,raw,0,PymatgenData range atomic_mass _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_mass formula,raw,0,PymatgenData range atomic_mass formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_radius _B,raw,0,PymatgenData range atomic_radius _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_radius _X,raw,0,PymatgenData range atomic_radius _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range atomic_radius formula,raw,0,PymatgenData range atomic_radius formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range block _B,raw,0,PymatgenData range block _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range block _X,raw,0,PymatgenData range block _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range block formula,raw,0,PymatgenData range block formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range group _B,raw,0,PymatgenData range group _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range group _X,raw,0,PymatgenData range group _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range group formula,raw,0,PymatgenData range group formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range melting_point _B,raw,0,PymatgenData range melting_point _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range melting_point _X,raw,0,PymatgenData range melting_point _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range melting_point formula,raw,0,PymatgenData range melting_point formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range mendeleev_no _B,raw,0,PymatgenData range mendeleev_no _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range mendeleev_no _X,raw,0,PymatgenData range mendeleev_no _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range mendeleev_no formula,raw,0,PymatgenData range mendeleev_no formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range row _B,raw,0,PymatgenData range row _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range row _X,raw,0,PymatgenData range row _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range row formula,raw,0,PymatgenData range row formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData range thermal_conductivity _B,raw,0,PymatgenData range thermal_conductivity _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData range thermal_conductivity _X,raw,0,PymatgenData range thermal_conductivity _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData range thermal_conductivity formula,raw,0,PymatgenData range thermal_conductivity formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev X _B,raw,0,PymatgenData std_dev X _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev X _X,raw,0,PymatgenData std_dev X _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev X formula,raw,0,PymatgenData std_dev X formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_mass _B,raw,0,PymatgenData std_dev atomic_mass _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_mass _X,raw,0,PymatgenData std_dev atomic_mass _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_mass formula,raw,0,PymatgenData std_dev atomic_mass formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_radius _B,raw,0,PymatgenData std_dev atomic_radius _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_radius _X,raw,0,PymatgenData std_dev atomic_radius _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev atomic_radius formula,raw,0,PymatgenData std_dev atomic_radius formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev block _B,raw,0,PymatgenData std_dev block _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev block _X,raw,0,PymatgenData std_dev block _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev block formula,raw,0,PymatgenData std_dev block formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev group _B,raw,0,PymatgenData std_dev group _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev group _X,raw,0,PymatgenData std_dev group _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev group formula,raw,0,PymatgenData std_dev group formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev melting_point _B,raw,0,PymatgenData std_dev melting_point _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev melting_point _X,raw,0,PymatgenData std_dev melting_point _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev melting_point formula,raw,0,PymatgenData std_dev melting_point formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev mendeleev_no _B,raw,0,PymatgenData std_dev mendeleev_no _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev mendeleev_no _X,raw,0,PymatgenData std_dev mendeleev_no _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev mendeleev_no formula,raw,0,PymatgenData std_dev mendeleev_no formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev row _B,raw,0,PymatgenData std_dev row _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev row _X,raw,0,PymatgenData std_dev row _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev row formula,raw,0,PymatgenData std_dev row formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev thermal_conductivity _B,raw,0,PymatgenData std_dev thermal_conductivity _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev thermal_conductivity _X,raw,0,PymatgenData std_dev thermal_conductivity _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData std_dev thermal_conductivity formula,raw,0,PymatgenData std_dev thermal_conductivity formula,,source_feature,False,False,other,dimensionless,,,
X_ionic_radius,raw,0,X_ionic_radius,,source_feature,False,True,ionic_radius,length_like,,,
X_shannon_rad,raw,0,X_shannon_rad,,source_feature,False,True,shannon_radius,length_like,,,
atom_num,raw,0,atom_num,,source_feature,False,False,other,dimensionless,,,
avg_dev neighbor distance variation,raw,0,avg_dev neighbor distance variation,,source_feature,False,False,neighbor_distance,length_like,,,
connection_binary_0,raw,0,connection_binary_0,,source_feature,False,False,other,dimensionless,,,
connection_binary_1,raw,0,connection_binary_1,,source_feature,False,False,other,dimensionless,,,
connection_binary_2,raw,0,connection_binary_2,,source_feature,False,False,other,dimensionless,,,
connection_binary_3,raw,0,connection_binary_3,,source_feature,False,False,other,dimensionless,,,
connection_label,raw,0,connection_label,,source_feature,False,False,other,dimensionless,,,
connection_onehot_corner,raw,0,connection_onehot_corner,,source_feature,False,False,other,dimensionless,,,
connection_onehot_corner_edge,raw,0,connection_onehot_corner_edge,,source_feature,False,False,other,dimensionless,,,
connection_onehot_corner_edge_face,raw,0,connection_onehot_corner_edge_face,,source_feature,False,False,other,dimensionless,,,
connection_onehot_corner_face,raw,0,connection_onehot_corner_face,,source_feature,False,False,other,dimensionless,,,
connection_onehot_edge,raw,0,connection_onehot_edge,,source_feature,False,False,other,dimensionless,,,
connection_onehot_edge_face,raw,0,connection_onehot_edge_face,,source_feature,False,False,other,dimensionless,,,
connection_onehot_face,raw,0,connection_onehot_face,,source_feature,False,False,other,dimensionless,,,
connection_onehot_no_connection,raw,0,connection_onehot_no_connection,,source_feature,False,False,other,dimensionless,,,
connection_onehot_unknown,raw,0,connection_onehot_unknown,,source_feature,False,False,other,dimensionless,,,
coval_r_B_coval_r_X,raw,0,coval_r_B_coval_r_X,,source_feature,False,False,covalent_radius,length_like,,,
crystal_system_int,raw,0,crystal_system_int,,source_feature,False,False,other,dimensionless,,,
density,raw,0,density,,source_feature,False,False,density,density,,,
dimensionality,raw,0,dimensionality,,source_feature,False,False,other,dimensionless,,,
ewald_energy_per_atom,raw,0,ewald_energy_per_atom,,source_feature,False,False,ewald,energy_like,,,
is_centrosymmetric,raw,0,is_centrosymmetric,,source_feature,False,False,other,dimensionless,,,
local_difference_in_CovalentRadius,raw,0,local_difference_in_CovalentRadius,,source_feature,False,False,local_difference:covalent_radius,length_like,,,
local_difference_in_CovalentRadius_allsites,raw,0,local_difference_in_CovalentRadius_allsites,,source_feature,False,False,local_difference:covalent_radius,length_like,,,
local_difference_in_Electronegativity,raw,0,local_difference_in_Electronegativity,,source_feature,False,False,local_difference:electronegativity,electronegativity,,,
local_difference_in_Electronegativity_allsites,raw,0,local_difference_in_Electronegativity_allsites,,source_feature,False,False,local_difference:electronegativity,electronegativity,,,
local_difference_in_GSbandgap_allsites,raw,0,local_difference_in_GSbandgap_allsites,,source_feature,False,False,local_difference:bandgap,energy_like,,,
local_difference_in_GSvolume_pa,raw,0,local_difference_in_GSvolume_pa,,source_feature,False,False,local_difference:volume,length_like,,,
local_difference_in_NdValence,raw,0,local_difference_in_NdValence,,source_feature,False,False,local_difference:d_valence,electron_count,,,
local_difference_in_NdValence_allsites,raw,0,local_difference_in_NdValence_allsites,,source_feature,False,False,local_difference:d_valence,electron_count,,,
max packing efficiency,raw,0,max packing efficiency,,source_feature,False,False,other,dimensionless,,,
max relative bond length,raw,0,max relative bond length,,source_feature,False,False,other,dimensionless,,,
max_bondlength,raw,0,max_bondlength,,source_feature,False,False,other,dimensionless,,,
maximum neighbor distance variation,raw,0,maximum neighbor distance variation,,source_feature,False,False,neighbor_distance,length_like,,,
mean Average bond length,raw,0,mean Average bond length,,source_feature,False,False,other,dimensionless,,,
mean absolute deviation in relative bond length,raw,0,mean absolute deviation in relative bond length,,source_feature,False,False,other,dimensionless,,,
mean absolute deviation in relative cell size,raw,0,mean absolute deviation in relative cell size,,source_feature,False,False,other,dimensionless,,,
mean ewald_site_energy,raw,0,mean ewald_site_energy,,source_feature,False,False,ewald,energy_like,,,
mean neighbor distance variation,raw,0,mean neighbor distance variation,,source_feature,False,False,neighbor_distance,length_like,,,
mean ordering parameter shell 1,raw,0,mean ordering parameter shell 1,,source_feature,False,False,other,dimensionless,,,
mean ordering parameter shell 2,raw,0,mean ordering parameter shell 2,,source_feature,False,False,other,dimensionless,,,
mean ordering parameter shell 3,raw,0,mean ordering parameter shell 3,,source_feature,False,False,other,dimensionless,,,
mean_delta_d,raw,0,mean_delta_d,,source_feature,False,False,other,dimensionless,,,
mean_oct_g,raw,0,mean_oct_g,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_density,raw,0,mendeleev_B_density,,source_feature,False,False,density,density,,,
mendeleev_B_electron_affinity,raw,0,mendeleev_B_electron_affinity,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_electrons,raw,0,mendeleev_B_electrons,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_electrophilicity,raw,0,mendeleev_B_electrophilicity,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_mass,raw,0,mendeleev_B_mass,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_proton_affinity,raw,0,mendeleev_B_proton_affinity,,source_feature,False,False,other,dimensionless,,,
mendeleev_B_vdw_radius,raw,0,mendeleev_B_vdw_radius,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_density,raw,0,mendeleev_X_density,,source_feature,False,False,density,density,,,
mendeleev_X_electron_affinity,raw,0,mendeleev_X_electron_affinity,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_electrons,raw,0,mendeleev_X_electrons,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_electrophilicity,raw,0,mendeleev_X_electrophilicity,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_mass,raw,0,mendeleev_X_mass,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_proton_affinity,raw,0,mendeleev_X_proton_affinity,,source_feature,False,False,other,dimensionless,,,
mendeleev_X_vdw_radius,raw,0,mendeleev_X_vdw_radius,,source_feature,False,False,other,dimensionless,,,
min relative bond length,raw,0,min relative bond length,,source_feature,False,False,other,dimensionless,,,
min_bondlength,raw,0,min_bondlength,,source_feature,False,False,other,dimensionless,,,
minimum neighbor distance variation,raw,0,minimum neighbor distance variation,,source_feature,False,False,neighbor_distance,length_like,,,
n_symmetry_ops,raw,0,n_symmetry_ops,,source_feature,False,False,other,dimensionless,,,
oct_mean_bond,raw,0,oct_mean_bond,,source_feature,False,False,other,dimensionless,,,
packing fraction,raw,0,packing fraction,,source_feature,False,True,packing_fraction,dimensionless,,,
pymatgen_B_boiling_point,raw,0,pymatgen_B_boiling_point,,source_feature,False,False,other,dimensionless,,,
pymatgen_B_density_of_solid,raw,0,pymatgen_B_density_of_solid,,source_feature,False,False,density,density,,,
pymatgen_B_electrical_resistivity,raw,0,pymatgen_B_electrical_resistivity,,source_feature,False,False,other,dimensionless,,,
pymatgen_B_melting_point,raw,0,pymatgen_B_melting_point,,source_feature,False,False,other,dimensionless,,,
pymatgen_B_poissons_ratio,raw,0,pymatgen_B_poissons_ratio,,source_feature,False,False,other,dimensionless,,,
pymatgen_B_thermal_conductivity,raw,0,pymatgen_B_thermal_conductivity,,source_feature,False,False,other,dimensionless,,,
pymatgen_X_boiling_point,raw,0,pymatgen_X_boiling_point,,source_feature,False,False,other,dimensionless,,,
pymatgen_X_density_of_solid,raw,0,pymatgen_X_density_of_solid,,source_feature,False,False,density,density,,,
pymatgen_X_electrical_resistivity,raw,0,pymatgen_X_electrical_resistivity,,source_feature,False,False,other,dimensionless,,,
pymatgen_X_melting_point,raw,0,pymatgen_X_melting_point,,source_feature,False,False,other,dimensionless,,,
pymatgen_X_poissons_ratio,raw,0,pymatgen_X_poissons_ratio,,source_feature,False,False,other,dimensionless,,,
pymatgen_X_thermal_conductivity,raw,0,pymatgen_X_thermal_conductivity,,source_feature,False,False,other,dimensionless,,,
range neighbor distance variation,raw,0,range neighbor distance variation,,source_feature,False,False,neighbor_distance,length_like,,,
site_EwaldSiteEnergy,raw,0,site_EwaldSiteEnergy,,source_feature,False,False,ewald,energy_like,,,
spacegroup_num,raw,0,spacegroup_num,,source_feature,False,False,other,dimensionless,,,
std_dev Average bond length,raw,0,std_dev Average bond length,,source_feature,False,False,other,dimensionless,,,
std_dev ewald_site_energy,raw,0,std_dev ewald_site_energy,,source_feature,False,False,ewald,energy_like,,,
structural complexity per atom,raw,0,structural complexity per atom,,source_feature,False,False,other,dimensionless,,,
structural complexity per cell,raw,0,structural complexity per cell,,source_feature,False,False,other,dimensionless,,,
vpa,raw,0,vpa,,source_feature,False,False,other,dimensionless,,,
(B_ionic_radius)+(X_ionic_radius),level1_optional,1,(B_ionic_radius) + (X_ionic_radius),B_ionic_radius | X_ionic_radius,optional_pairwise_add,False,False,ionic_radius,length_like,ionic_radius | ionic_radius,length_like | length_like,global | global
(B_ionic_radius)-(X_ionic_radius),level1_optional,1,(B_ionic_radius) - (X_ionic_radius),B_ionic_radius | X_ionic_radius,optional_pairwise_sub,False,False,ionic_radius,length_like,ionic_radius | ionic_radius,length_like | length_like,global | global
(B_ionic_radius)/(B_shannon_rad),level1_optional,1,(B_ionic_radius) / (B_shannon_rad),B_ionic_radius | B_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,ionic_radius | shannon_radius,length_like | length_like,global | global
(B_ionic_radius)/(MagpieData maximum CovalentRadius _B),level1_optional,1,(B_ionic_radius) / (MagpieData maximum CovalentRadius _B),B_ionic_radius | MagpieData maximum CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,ionic_radius | covalent_radius,length_like | length_like,global | B
(B_ionic_radius)/(MagpieData maximum GSvolume_pa _B),level1_optional,1,(B_ionic_radius) / (MagpieData maximum GSvolume_pa _B),B_ionic_radius | MagpieData maximum GSvolume_pa _B,optional_pairwise_div,False,False,ionic_radius,length_like,ionic_radius | volume,length_like | length_like,global | B
(B_ionic_radius)/(MagpieData mean CovalentRadius _B),level1_optional,1,(B_ionic_radius) / (MagpieData mean CovalentRadius _B),B_ionic_radius | MagpieData mean CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,ionic_radius | covalent_radius,length_like | length_like,global | B
(B_ionic_radius)/(MagpieData mean CovalentRadius _X),level1_optional,1,(B_ionic_radius) / (MagpieData mean CovalentRadius _X),B_ionic_radius | MagpieData mean CovalentRadius _X,optional_pairwise_div,False,False,covalent_radius,length_like,ionic_radius | covalent_radius,length_like | length_like,global | X
(B_ionic_radius)/(MagpieData mean GSvolume_pa _B),level1_optional,1,(B_ionic_radius) / (MagpieData mean GSvolume_pa _B),B_ionic_radius | MagpieData mean GSvolume_pa _B,optional_pairwise_div,False,False,ionic_radius,length_like,ionic_radius | volume,length_like | length_like,global | B
(B_ionic_radius)/(MagpieData mean GSvolume_pa _X),level1_optional,1,(B_ionic_radius) / (MagpieData mean GSvolume_pa _X),B_ionic_radius | MagpieData mean GSvolume_pa _X,optional_pairwise_div,False,False,ionic_radius,length_like,ionic_radius | volume,length_like | length_like,global | X
(B_ionic_radius)/(X_ionic_radius),level1_optional,1,(B_ionic_radius) / (X_ionic_radius),B_ionic_radius | X_ionic_radius,optional_pairwise_div,False,False,ionic_radius,length_like,ionic_radius | ionic_radius,length_like | length_like,global | global
(B_ionic_radius)/(X_shannon_rad),level1_optional,1,(B_ionic_radius) / (X_shannon_rad),B_ionic_radius | X_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,ionic_radius | shannon_radius,length_like | length_like,global | global
(MagpieData maximum NUnfilled _B)/(B_ionic_radius),level1_optional,1,(MagpieData maximum NUnfilled _B) / (B_ionic_radius),MagpieData maximum NUnfilled _B | B_ionic_radius,optional_pairwise_div,False,False,ionic_radius,length_like,unfilled | ionic_radius,electron_count | length_like,B | global
(MagpieData maximum NUnfilled _B)/(B_shannon_rad),level1_optional,1,(MagpieData maximum NUnfilled _B) / (B_shannon_rad),MagpieData maximum NUnfilled _B | B_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,unfilled | shannon_radius,electron_count | length_like,B | global
(MagpieData maximum NUnfilled _B)/(MagpieData maximum CovalentRadius _B),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData maximum CovalentRadius _B),MagpieData maximum NUnfilled _B | MagpieData maximum CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,unfilled | covalent_radius,electron_count | length_like,B | B
(MagpieData maximum NUnfilled _B)/(MagpieData maximum GSvolume_pa _B),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData maximum GSvolume_pa _B),MagpieData maximum NUnfilled _B | MagpieData maximum GSvolume_pa _B,optional_pairwise_div,False,False,unfilled,electron_count,unfilled | volume,electron_count | length_like,B | B
(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _B),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData mean CovalentRadius _B),MagpieData maximum NUnfilled _B | MagpieData mean CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,unfilled | covalent_radius,electron_count | length_like,B | B
(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _X),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData mean CovalentRadius _X),MagpieData maximum NUnfilled _B | MagpieData mean CovalentRadius _X,optional_pairwise_div,False,False,covalent_radius,length_like,unfilled | covalent_radius,electron_count | length_like,B | X
(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _B),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData mean GSvolume_pa _B),MagpieData maximum NUnfilled _B | MagpieData mean GSvolume_pa _B,optional_pairwise_div,False,False,unfilled,electron_count,unfilled | volume,electron_count | length_like,B | B
(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _X),level1_optional,1,(MagpieData maximum NUnfilled _B) / (MagpieData mean GSvolume_pa _X),MagpieData maximum NUnfilled _B | MagpieData mean GSvolume_pa _X,optional_pairwise_div,False,False,unfilled,electron_count,unfilled | volume,electron_count | length_like,B | X
(MagpieData maximum NUnfilled _B)/(X_ionic_radius),level1_optional,1,(MagpieData maximum NUnfilled _B) / (X_ionic_radius),MagpieData maximum NUnfilled _B | X_ionic_radius,optional_pairwise_div,False,False,ionic_radius,length_like,unfilled | ionic_radius,electron_count | length_like,B | global
(MagpieData maximum NUnfilled _B)/(X_shannon_rad),level1_optional,1,(MagpieData maximum NUnfilled _B) / (X_shannon_rad),MagpieData maximum NUnfilled _B | X_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,unfilled | shannon_radius,electron_count | length_like,B | global
(MagpieData maximum SpaceGroupNumber _X)+(DemlData minimum molar_vol _B),level1_optional,1,(MagpieData maximum SpaceGroupNumber _X) + (DemlData minimum molar_vol _B),MagpieData maximum SpaceGroupNumber _X | DemlData minimum molar_vol _B,optional_pairwise_add,False,False,other,dimensionless,other | other,dimensionless | dimensionless,X | B
(MagpieData maximum SpaceGroupNumber _X)/(B_shannon_rad),level1_optional,1,(MagpieData maximum SpaceGroupNumber _X) / (B_shannon_rad),MagpieData maximum SpaceGroupNumber _X | B_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,other | shannon_radius,dimensionless | length_like,X | global
(MagpieData maximum SpaceGroupNumber _X)/(MagpieData maximum CovalentRadius _B),level1_optional,1,(MagpieData maximum SpaceGroupNumber _X) / (MagpieData maximum CovalentRadius _B),MagpieData maximum SpaceGroupNumber _X | MagpieData maximum CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,other | covalent_radius,dimensionless | length_like,X | B
(MagpieData mean GSbandgap _X)/(B_ionic_radius),level1_optional,1,(MagpieData mean GSbandgap _X) / (B_ionic_radius),MagpieData mean GSbandgap _X | B_ionic_radius,optional_pairwise_div,False,False,ionic_radius,length_like,bandgap | ionic_radius,energy_like | length_like,X | global
(MagpieData mean GSbandgap _X)/(B_shannon_rad),level1_optional,1,(MagpieData mean GSbandgap _X) / (B_shannon_rad),MagpieData mean GSbandgap _X | B_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,bandgap | shannon_radius,energy_like | length_like,X | global
(MagpieData mean GSbandgap _X)/(MagpieData maximum CovalentRadius _B),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData maximum CovalentRadius _B),MagpieData mean GSbandgap _X | MagpieData maximum CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,bandgap | covalent_radius,energy_like | length_like,X | B
(MagpieData mean GSbandgap _X)/(MagpieData maximum GSvolume_pa _B),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData maximum GSvolume_pa _B),MagpieData mean GSbandgap _X | MagpieData maximum GSvolume_pa _B,optional_pairwise_div,False,False,bandgap,energy_like,bandgap | volume,energy_like | length_like,X | B
(MagpieData mean GSbandgap _X)/(MagpieData mean CovalentRadius _B),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData mean CovalentRadius _B),MagpieData mean GSbandgap _X | MagpieData mean CovalentRadius _B,optional_pairwise_div,False,False,covalent_radius,length_like,bandgap | covalent_radius,energy_like | length_like,X | B
(MagpieData mean GSbandgap _X)/(MagpieData mean CovalentRadius _X),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData mean CovalentRadius _X),MagpieData mean GSbandgap _X | MagpieData mean CovalentRadius _X,optional_pairwise_div,False,False,covalent_radius,length_like,bandgap | covalent_radius,energy_like | length_like,X | X
(MagpieData mean GSbandgap _X)/(MagpieData mean GSvolume_pa _B),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData mean GSvolume_pa _B),MagpieData mean GSbandgap _X | MagpieData mean GSvolume_pa _B,optional_pairwise_div,False,False,bandgap,energy_like,bandgap | volume,energy_like | length_like,X | B
(MagpieData mean GSbandgap _X)/(MagpieData mean GSvolume_pa _X),level1_optional,1,(MagpieData mean GSbandgap _X) / (MagpieData mean GSvolume_pa _X),MagpieData mean GSbandgap _X | MagpieData mean GSvolume_pa _X,optional_pairwise_div,False,False,bandgap,energy_like,bandgap | volume,energy_like | length_like,X | X
(MagpieData mean GSbandgap _X)/(X_ionic_radius),level1_optional,1,(MagpieData mean GSbandgap _X) / (X_ionic_radius),MagpieData mean GSbandgap _X | X_ionic_radius,optional_pairwise_div,False,False,ionic_radius,length_like,bandgap | ionic_radius,energy_like | length_like,X | global
(MagpieData mean GSbandgap _X)/(X_shannon_rad),level1_optional,1,(MagpieData mean GSbandgap _X) / (X_shannon_rad),MagpieData mean GSbandgap _X | X_shannon_rad,optional_pairwise_div,False,False,shannon_radius,length_like,bandgap | shannon_radius,energy_like | length_like,X | global
(coval_r_B_coval_r_X)+(MagpieData maximum CovalentRadius _B),level1_optional,1,(coval_r_B_coval_r_X) + (MagpieData maximum CovalentRadius _B),coval_r_B_coval_r_X | MagpieData maximum CovalentRadius _B,optional_pairwise_add,False,False,covalent_radius,length_like,covalent_radius | covalent_radius,length_like | length_like,global | B
