rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.344379644189673
2,DemlData std_dev electronegativity formula,other,0.08742474293193789
3,PymatgenData std_dev X formula,other,0.07760901606359419
4,MagpieData avg_dev NdValence formula,d_valence,0.057288943090892906
5,MagpieData range CovalentRadius formula,covalent_radius,0.04545992781738219
6,MagpieData mean SpaceGroupNumber formula,other,0.029430760201733
7,local_difference_in_NdValence_allsites,local_difference:d_valence,0.027270251069375064
8,MagpieData mean NdValence formula,d_valence,0.026861802696401114
9,MagpieData maximum GSbandgap formula,bandgap,0.026731668093761058
10,MagpieData maximum NdValence formula,d_valence,0.02345979695248623
11,MagpieData range NUnfilled formula,unfilled,0.01366814196143891
12,MagpieData range NdValence formula,d_valence,0.013571974628732558
13,MagpieData range GSbandgap formula,bandgap,0.012538078754875264
14,MagpieData mean NUnfilled formula,unfilled,0.009389272460897343
15,DemlData mean first_ioniz formula,other,0.007378958261094713
16,MagpieData range SpaceGroupNumber formula,other,0.006671199468749769
17,MagpieData avg_dev NUnfilled formula,unfilled,0.006463416838903872
18,MagpieData mode Electronegativity formula,electronegativity,0.006284256497086198
19,DemlData minimum molar_vol formula,other,0.0060793156616896025
20,local_difference_in_Electronegativity,local_difference:electronegativity,0.005504951978523367
21,MagpieData range NdUnfilled formula,d_unfilled,0.004874836261725751
22,MagpieData maximum NdUnfilled formula,d_unfilled,0.004548140073001437
23,DemlData range first_ioniz formula,other,0.004323120452968264
24,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.004272869341170464
25,MagpieData mean NsValence formula,s_valence,0.003841460257714187
26,MagpieData avg_dev GSbandgap formula,bandgap,0.003679355056428306
27,coval_r_B_coval_r_X,covalent_radius,0.0035003648646180024
28,MagpieData maximum NUnfilled formula,unfilled,0.003373371741370191
29,PymatgenData minimum thermal_conductivity formula,other,0.0031056571676112495
30,MagpieData avg_dev NsValence formula,s_valence,0.0030243753940305115
31,MagpieData maximum MendeleevNumber formula,other,0.002980003076892138
32,pymatgen_B_poissons_ratio,other,0.0026271705858003903
33,MagpieData mean NValence formula,valence,0.002406589622701195
34,DemlData std_dev first_ioniz formula,other,0.0022082157156884364
35,MagpieData mode SpaceGroupNumber formula,other,0.0020116709737969434
36,mean Average bond length,other,0.001980141375904825
37,std_dev ewald_site_energy,ewald,0.0017289659688565682
38,min_bondlength,other,0.0016941453497268505
39,MagpieData minimum NValence formula,valence,0.0016779955851735622
40,DemlData mean boiling_point formula,other,0.001667798064984425
41,MagpieData mean GSbandgap formula,bandgap,0.0016269143307241333
