rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.343061825656125
2,PymatgenData std_dev X formula,other,0.0979348017254119
3,DemlData std_dev electronegativity formula,other,0.06690651654244577
4,MagpieData avg_dev NdValence formula,d_valence,0.055584309390359285
5,MagpieData range CovalentRadius formula,covalent_radius,0.04557625942759947
6,MagpieData mean SpaceGroupNumber formula,other,0.029186244967273966
7,MagpieData mean NdValence formula,d_valence,0.029127733136763107
8,local_difference_in_NdValence_allsites,local_difference:d_valence,0.027610320448869796
9,MagpieData maximum GSbandgap formula,bandgap,0.026646043490073733
10,MagpieData range NdValence formula,d_valence,0.021612963789031884
11,MagpieData maximum NdValence formula,d_valence,0.016129587016163648
12,MagpieData range NUnfilled formula,unfilled,0.013484979832387774
13,MagpieData range GSbandgap formula,bandgap,0.012223657090724392
14,MagpieData mean NUnfilled formula,unfilled,0.009743897682919778
15,DemlData mean first_ioniz formula,other,0.006889201121375825
16,MagpieData range SpaceGroupNumber formula,other,0.006535901599513778
17,MagpieData avg_dev NUnfilled formula,unfilled,0.006197088288612125
18,DemlData minimum molar_vol formula,other,0.006106495216046381
19,MagpieData mode Electronegativity formula,electronegativity,0.005897889143205081
20,local_difference_in_Electronegativity,local_difference:electronegativity,0.005765272568602865
21,MagpieData range NdUnfilled formula,d_unfilled,0.004711007087300887
22,MagpieData maximum NdUnfilled formula,d_unfilled,0.004282081563966622
23,MagpieData avg_dev GSbandgap formula,bandgap,0.004272010163447509
24,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.00396211237152879
25,MagpieData mean NsValence formula,s_valence,0.0038617447338114494
26,DemlData range first_ioniz formula,other,0.0038446368943647084
27,coval_r_B_coval_r_X,covalent_radius,0.003381278526818817
28,MagpieData maximum NUnfilled formula,unfilled,0.0033396888353024604
29,MagpieData maximum MendeleevNumber formula,other,0.0029333772407587736
30,MagpieData avg_dev NsValence formula,s_valence,0.0028576136272882736
31,PymatgenData minimum thermal_conductivity formula,other,0.002786962101216953
32,MagpieData mode SpaceGroupNumber formula,other,0.002782271786837762
33,pymatgen_B_poissons_ratio,other,0.0024731660485597497
34,mean Average bond length,other,0.0021646771339514904
35,min_bondlength,other,0.001982349597401693
36,DemlData std_dev first_ioniz formula,other,0.0019587821315203693
37,MagpieData mean NValence formula,valence,0.0019355957148385454
38,DemlData std_dev boiling_point formula,other,0.0017595906768114468
39,DemlData mean boiling_point formula,other,0.0017167688303178965
40,ewald_energy_per_atom,ewald,0.0016826858509449854
41,MagpieData maximum CovalentRadius formula,covalent_radius,0.0016309123498139115
42,std_dev ewald_site_energy,ewald,0.0015612959190659484
43,MagpieData mean GSbandgap formula,bandgap,0.0015600063548695665
44,oct_mean_bond,other,0.0015206675679236231
45,MagpieData maximum NUnfilled _B,unfilled,0.0015168820966330583
46,density,density,0.0015047525635186185
47,MagpieData minimum NValence formula,valence,0.001438041720311524
48,vpa,other,0.0014338043687898868
49,MagpieData mean GSbandgap _X,bandgap,0.0013751565755602054
50,MagpieData mean NsUnfilled formula,s_unfilled,0.0013136484154700654
51,MagpieData avg_dev MeltingT formula,other,0.0012813864996018662
52,MagpieData avg_dev NpValence formula,p_valence,0.001251949308304053
53,local_difference_in_Electronegativity_allsites,local_difference:electronegativity,0.0012095344728034396
54,site_EwaldSiteEnergy,ewald,0.001150282332309982
55,MagpieData mean NpValence formula,p_valence,0.001144800280385886
56,MagpieData avg_dev NValence formula,valence,0.0011408430651376358
57,DemlData range boiling_point formula,other,0.001127999716133809
58,PymatgenData mean atomic_radius formula,other,0.0011227349442778445
59,MagpieData mean CovalentRadius formula,covalent_radius,0.0011159637410877857
60,MagpieData minimum NUnfilled formula,unfilled,0.0011026212644790188
61,PymatgenData std_dev block formula,other,0.001082528446760962
62,local_difference_in_CovalentRadius_allsites,local_difference:covalent_radius,0.001066076026423991
63,B_ionic_radius,ionic_radius,0.0010515180303281204
64,DemlData range electronegativity formula,other,0.0010426746424146472
65,mendeleev_X_proton_affinity,other,0.0010061057295811747
66,std_dev Average bond length,other,0.0009847763569743274
67,MagpieData range Electronegativity formula,electronegativity,0.0009526862405581675
68,MagpieData range NValence formula,valence,0.0009417157118176416
69,MagpieData avg_dev SpaceGroupNumber formula,other,0.0009322624691131161
70,mendeleev_B_proton_affinity,other,0.0009289652924476564
71,PymatgenData minimum mendeleev_no formula,other,0.000891104203094823
72,MagpieData maximum NpUnfilled formula,p_unfilled,0.0008725880606632423
73,mendeleev_B_electron_affinity,other,0.0008606531871856327
74,PymatgenData mean mendeleev_no formula,other,0.0008531097471216276
75,mean_oct_g,other,0.0008509200594353028
76,MagpieData range MendeleevNumber formula,other,0.000849501729885322
77,mean_delta_d,other,0.0008197962429147036
78,mean ewald_site_energy,ewald,0.0008165552085128931
79,MagpieData avg_dev NsUnfilled formula,s_unfilled,0.0007962207518793865
80,MagpieData maximum CovalentRadius _B,covalent_radius,0.0007767313687678885
81,mendeleev_B_density,density,0.0007746763893054763
82,MagpieData mean SpaceGroupNumber _X,other,0.0007707338995155109
83,MagpieData mean NpUnfilled formula,p_unfilled,0.0007667965841995107
84,PymatgenData std_dev thermal_conductivity formula,other,0.0007656839823987139
85,X_shannon_rad,shannon_radius,0.000762414519766657
86,local_difference_in_GSvolume_pa,local_difference:volume,0.0007424042468526497
87,PymatgenData mean X formula,other,0.0007417954867737677
88,MagpieData mean NpUnfilled _X,p_unfilled,0.0007394891311513506
89,PymatgenData mean block formula,other,0.000737187018702494
90,pymatgen_B_electrical_resistivity,other,0.0007260875770847844
91,MagpieData avg_dev MendeleevNumber formula,other,0.000724923696769167
92,B_shannon_rad,shannon_radius,0.0007226470168759471
93,maximum neighbor distance variation,neighbor_distance,0.0007214902916797717
94,mean ordering parameter shell 3,other,0.0006928255806097189
95,DemlData minimum molar_vol _B,other,0.0006804326717390126
96,MagpieData maximum NValence _B,valence,0.0006755843302443706
97,MagpieData maximum NValence formula,valence,0.0006683015889553746
98,DemlData maximum electronegativity _B,other,0.000665088221024865
99,local_difference_in_GSbandgap_allsites,local_difference:bandgap,0.0006612878004792686
100,PymatgenData range X formula,other,0.0006386383916893502
101,MagpieData minimum MendeleevNumber formula,other,0.0006206461585696241
102,MagpieData maximum GSvolume_pa _B,volume,0.0006149861993883204
103,MagpieData avg_dev CovalentRadius formula,covalent_radius,0.0006102603893811637
104,mean neighbor distance variation,neighbor_distance,0.00059540154938436
105,PymatgenData range mendeleev_no formula,other,0.000590533127869505
106,MagpieData mode MeltingT formula,other,0.0005889332199707467
107,MagpieData maximum GSmagmom _B,other,0.0005860825479507964
108,MagpieData mean GSmagmom _B,other,0.000585585166873369
109,MagpieData maximum Electronegativity _B,electronegativity,0.0005722518462057614
110,minimum neighbor distance variation,neighbor_distance,0.0005654750806968221
111,MagpieData mean NUnfilled _X,unfilled,0.0005589421091947093
112,DemlData mean atom_radius formula,other,0.0005533249936544997
113,min relative bond length,other,0.0005472648768495747
114,avg_dev neighbor distance variation,neighbor_distance,0.0005451439833402512
115,MagpieData maximum NsValence _B,s_valence,0.0005365108094270955
116,DemlData maximum boiling_point _B,other,0.0005356678086919025
117,DemlData mean molar_vol formula,other,0.0005291942583878698
118,max_bondlength,other,0.0005277691846244464
119,DemlData minimum boiling_point _X,other,0.0005112193550619793
120,MagpieData maximum NpUnfilled _B,p_unfilled,0.0005001472710418851
121,MagpieData maximum NdUnfilled _B,d_unfilled,0.0004999348847048495
122,max relative bond length,other,0.0004891758978219443
123,PymatgenData maximum mendeleev_no _B,other,0.00047620084785996163
124,DemlData minimum first_ioniz formula,other,0.0004606934538132129
125,MagpieData avg_dev GSmagmom formula,other,0.0004486468328436945
126,DemlData range molar_vol formula,other,0.0004485600048869468
