formation_energy,MagpieData avg_dev Electronegativity formula,DemlData std_dev electronegativity formula,(coval_r_B_coval_r_X)/(B_ionic_radius),PymatgenData std_dev X formula,MagpieData range CovalentRadius formula,MagpieData avg_dev NdValence formula,MagpieData mean NdValence formula,local_difference_in_NdValence_allsites,(EnB-6*EnX)/coval_r_B-6X,MagpieData range NdValence formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _X),MagpieData mean SpaceGroupNumber formula,MagpieData range NUnfilled formula,MagpieData maximum NdValence formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _X),MagpieData mean NsValence formula,MagpieData mean NUnfilled formula,MagpieData maximum GSbandgap formula,DemlData minimum molar_vol formula,MagpieData mean NValence formula,MagpieData avg_dev NUnfilled formula,MagpieData avg_dev NsValence formula,MagpieData minimum NValence formula,(MagpieData maximum SpaceGroupNumber _X)/(MagpieData maximum CovalentRadius _B),density,MagpieData range GSbandgap formula,local_difference_in_CovalentRadius,(MagpieData maximum SpaceGroupNumber _X)+(DemlData minimum molar_vol _B),DemlData mean first_ioniz formula,MagpieData mode SpaceGroupNumber formula,DemlData range first_ioniz formula,DemlData mean boiling_point formula,local_difference_in_Electronegativity,EnB/SIrB-6*EnX/SIrX,std_dev ewald_site_energy,MagpieData avg_dev GSbandgap formula,MagpieData range NdUnfilled formula,EnB/rB-6*EnX/rX
-0.7882975078124996,0.4525,0.5992187896709655,1.9047619047619049,0.5992187896709655,59.0,2.75,2.75,3.895852647234388,-0.02978540772532189,10.0,0.06666666666666667,149.0,6.0,10.0,0.27145592476792946,1.5,3.75,2.202,7.11,6.25,2.4375,0.5,5.0,0.4268292682926829,5.544727327007173,2.202,49.57095644225715,80.83,837525.0,70.0,347500,2640.31,0.8227399592700281,-6.050174279948633,5.847005038165326,1.101,6.0,-0.1376724738675958
-1.2610448862121215,0.8909090909090908,1.362530962950934,2.310396785534907,1.362530962950934,100.0,2.975206611570248,1.818181818181818,3.1432327881326327,-0.07186046511627907,10.0,0.030303030303030304,76.9090909090909,1.0,10.0,0.21965952773201536,1.818181818181818,1.818181818181818,0.4639999999999999,17.36,6.909090909090909,0.2975206611570249,0.2975206611570249,1.0,0.08695652173913043,4.789796840530999,0.4639999999999999,72.0,32.46,1084318.181818182,12.0,818100,496.8545454545454,1.34,-11.184876989869757,58.37937452146847,0.1380495867768595,0.0,-0.2975098814229249
-2.365544261,1.0104,1.4251049568123164,2.8558310376492195,1.4251049568123164,149.0,1.28,0.8,1.3967817626758443,-0.07841995841995841,7.0,0.13636363636363635,94.9,9.0,7.0,0.9884678747940692,2.0,2.4,0.0,8.52,6.6,1.44,0.0,2.0,0.07058823529411765,7.17906319821532,0.0,89.42166884632636,20.52,1040230.0,12.0,811000,1263.12,1.6578624888573787,-12.227652655268995,32.43857746703255,0.0,9.0,-0.30128032738965216
-1.307285996904762,0.8065306122448979,1.1874943608888662,3.346628157520745,1.1874943608888662,80.0,2.8571428571428568,2.0,3.617337621080251,-0.07376,7.0,0.06060606060606061,95.0,3.0,7.0,0.4393190554640307,1.5714285714285714,2.4285714285714284,0.0,8.17,5.857142857142858,0.8979591836734693,0.489795918367347,1.0,0.0821917808219178,6.215005892467357,0.0,76.47282148410275,20.17,1028028.5714285716,12.0,793700,1545.9714285714283,1.1940752242772918,-11.699582872222699,20.151627846143924,0.0,3.0,-0.2976587795765878
-1.1698219526666669,0.6144000000000001,0.8378914422319381,2.3904382470119523,0.8378914422319381,80.0,4.44,3.7,7.249438948611392,-0.0706439393939394,10.0,0.045454545454545456,86.8,2.0,10.0,0.32948929159802304,2.0,2.5,0.4639999999999999,6.67,11.7,0.7,0.0,6.0,0.08695652173913043,9.078723714569882,0.4639999999999999,65.99967957554016,18.67,1094430.0,12.0,598300,904.62,1.4499944426382745,-12.281543656536424,26.81787525596659,0.08352,3.0,-0.29765151515151517
-0.2841068133333333,0.3022222222222222,0.4808326112068524,1.5331010452961673,0.4808326112068524,27.0,4.444444444444444,3.333333333333333,6.504583041394671,-0.027269076305220883,10.0,0.009523809523809525,121.66666666666669,1.0,10.0,0.03877941782398992,1.6666666666666667,1.6666666666666667,2.202,7.11,7.666666666666668,0.4444444444444444,0.4444444444444444,6.0,0.5303030303030303,4.304310038720041,2.202,27.0,77.11,914900.0,70.0,254100,1545.246666666667,0.6800000000000003,-21.03084806023214,14.547711453684665,0.9786666666666668,0.0,-0.133034632034632
-0.2863339142647063,0.2931487889273356,0.4035440819624994,1.5246749968446296,0.4035440819624994,120.0,4.498269896193771,3.8235294117647056,4.622949264726267,-0.020585651537335287,10.0,0.03597122302158273,148.11764705882354,4.0,10.0,0.1162385214460072,1.5294117647058822,1.4705882352941178,7.853,8.86,8.294117647058824,0.7750865051903115,0.4982698961937717,1.0,0.423841059602649,4.345607087187034,7.853,18.444537936417515,72.86,1183000.0,194.0,642300,525.315294117647,0.7325510421226662,-4.238672438672438,22.60163868319173,3.2260622837370243,5.0,-0.10223736242793845
-1.055726969125,0.7020000000000001,1.00461110797207,2.8879398006914783,1.00461110797207,110.0,4.03,3.1,5.939345602317882,-0.07228346456692913,10.0,0.045454545454545456,97.2,3.0,10.0,0.32948929159802304,1.65,1.95,0.0,7.11,7.15,0.4800000000000001,0.4550000000000001,2.0,0.08450704225352113,6.692710649904307,0.0,75.84545554614598,20.28,1073595.0,12.0,724100,1415.5700000000002,1.16044155558244,-11.134876989869756,24.76746271686596,0.0,2.0,-0.2966709346991037
-3.173528504294872,1.0906508875739649,1.459293641127269,3.3710093198492963,1.4592936411272692,113.0,0.7810650887573966,0.4615384615384616,0.7321909488894747,-0.10432160804020099,3.0,0.11382113821138211,80.15384615384616,6.0,3.0,0.7441860465116279,1.8461538461538465,2.1538461538461537,1.97,10.85,7.6923076923076925,1.4911242603550297,0.2603550295857987,1.0,0.08823529411764706,4.5078955928292,1.97,108.00012666538764,25.85,1276161.5384615385,15.0,1160800,1190.2138461538464,2.180007599923256,-14.217209732167767,39.49591722660126,0.979171597633136,7.0,-0.3531276901004304
-2.8109884486250003,1.398,1.907040042615239,2.5007694675284706,1.9070400426152387,163.0,1.8,1.0,1.5889434299653913,-0.12571030640668523,10.0,0.08771929824561403,84.1,4.0,10.0,0.5150656708730363,1.7,1.4,1.97,11.2,5.8,0.72,0.42,1.0,0.07389162561576355,3.6163992580808375,1.97,102.9568038972608,26.8,1188960.0,15.0,1278000,594.118,2.6027015528321247,-16.96633971291866,12.12514957078144,0.9456,0.0,-0.41085506072874495
