formation_energy,MagpieData avg_dev Electronegativity formula,PymatgenData std_dev X formula,DemlData std_dev electronegativity formula,MagpieData avg_dev NdValence formula,MagpieData range CovalentRadius formula,local_difference_in_NdValence_allsites,MagpieData mean SpaceGroupNumber formula,MagpieData mean NdValence formula,MagpieData maximum GSbandgap formula,MagpieData range NdValence formula,MagpieData maximum NdValence formula,MagpieData range NUnfilled formula,MagpieData range GSbandgap formula,MagpieData mean NUnfilled formula,DemlData mean first_ioniz formula,MagpieData mode Electronegativity formula,MagpieData range SpaceGroupNumber formula,MagpieData avg_dev NUnfilled formula,DemlData minimum molar_vol formula,local_difference_in_Electronegativity,local_difference_in_CovalentRadius,MagpieData maximum NdUnfilled formula,MagpieData avg_dev GSbandgap formula,DemlData range first_ioniz formula,MagpieData mean NsValence formula,MagpieData range NdUnfilled formula,coval_r_B_coval_r_X,MagpieData maximum NUnfilled formula,PymatgenData minimum thermal_conductivity formula,MagpieData mode SpaceGroupNumber formula,MagpieData avg_dev NsValence formula,pymatgen_B_poissons_ratio,MagpieData maximum MendeleevNumber formula,std_dev ewald_site_energy,min_bondlength,MagpieData minimum NValence formula,MagpieData mean NValence formula,MagpieData maximum NUnfilled _B,oct_mean_bond,DemlData mean boiling_point formula,density,DemlData std_dev first_ioniz formula,mean Average bond length,DemlData minimum molar_vol _B,MagpieData mean GSbandgap _X,MagpieData maximum CovalentRadius formula,MagpieData maximum GSmagmom _B,DemlData range boiling_point formula,maximum neighbor distance variation,MagpieData mean NpUnfilled _X
-0.7882975078124996,0.4525,0.5992187896709655,0.5992187896709655,2.75,59.0,3.895852647234388,149.0,2.75,2.202,10.0,10.0,6.0,2.202,3.75,837525.0,2.58,159.0,2.4375,7.11,0.8227399592700281,49.57095644225715,6.0,1.101,347500,1.5,6.0,1.561904761904762,7.0,0.205,70.0,0.5,0.4,88.0,5.847005038165326,2.4993915236637867,5.0,6.25,7.0,2.574384777675554,2640.31,5.544727327007173,213585.4888624964,2.499578306999862,10.83,2.202,164.0,0.0,4299.13,0.1852469436942204,2.0
-1.2610448862121215,0.8909090909090908,1.362530962950934,1.362530962950934,2.975206611570248,100.0,3.1432327881326327,76.9090909090909,1.818181818181818,0.4639999999999999,10.0,10.0,1.0,0.4639999999999999,1.818181818181818,1084318.181818182,3.44,217.0,0.2975206611570249,17.36,1.34,72.0,0.0,0.1380495867768595,818100,1.818181818181818,0.0,2.090909090909091,2.0,0.02658,12.0,0.2975206611570249,0.0,90.0,58.37937452146847,1.941353730636898,1.0,6.909090909090909,2.0,1.950839965054343,496.8545454545454,4.789796840530999,445382.6265835928,2.0337625955653493,20.46,0.0,166.0,0.0,1170.8,0.1399050260887385,2.0
-2.365544261,1.0104,1.4251049568123164,1.4251049568123164,1.28,149.0,1.3967817626758443,94.9,0.8,0.0,7.0,7.0,9.0,0.0,2.4,1040230.0,3.44,217.0,1.44,8.52,1.6578624888573787,89.42166884632636,9.0,0.0,811000,2.0,9.0,2.356060606060606,9.0,0.02658,12.0,0.0,0.54,87.0,32.43857746703255,2.063540025,2.0,6.6,9.0,2.063540025,1263.12,7.17906319821532,458304.0627853055,2.233300433917373,8.52,0.0,215.0,6.35e-06,4610.8,0.1212105826857883,2.0
-1.307285996904762,0.8065306122448979,1.1874943608888662,1.1874943608888662,2.8571428571428568,80.0,3.617337621080251,95.0,2.0,0.0,7.0,7.0,3.0,0.0,2.4285714285714284,1028028.5714285716,3.44,217.0,0.8979591836734693,8.17,1.1940752242772918,76.47282148410275,3.0,0.0,793700,1.5714285714285714,3.0,2.212121212121212,4.0,0.02658,12.0,0.489795918367347,0.3,87.0,20.151627846143924,1.9736566455236704,1.0,5.857142857142858,4.0,2.0331253755316547,1545.9714285714283,6.215005892467357,443511.486403034,2.0300340942632458,8.17,0.0,146.0,0.0,4332.8,0.1883270299948404,2.0
-1.1698219526666669,0.6144000000000001,0.8378914422319381,0.8378914422319381,4.44,80.0,7.249438948611392,86.8,3.7,0.4639999999999999,10.0,10.0,2.0,0.4639999999999999,2.5,1094430.0,3.44,213.0,0.7,6.67,1.4499944426382745,65.99967957554016,3.0,0.08352,598300,2.0,3.0,2.0,4.0,0.02658,12.0,0.0,0.31,90.0,26.81787525596659,1.996650910319741,6.0,11.7,3.0,1.9972436361288088,904.62,9.078723714569882,356778.29999150394,2.1626967167026683,6.67,0.0,146.0,1.5484712,3109.8,0.1225225947171872,2.0
-0.2841068133333333,0.3022222222222222,0.4808326112068524,0.4808326112068524,4.444444444444444,27.0,6.504583041394671,121.66666666666669,3.333333333333333,2.202,10.0,10.0,1.0,2.202,1.6666666666666667,914900.0,2.58,155.0,0.4444444444444444,7.11,0.6800000000000003,27.0,0.0,0.9786666666666668,254100,1.6666666666666667,0.0,1.2571428571428571,2.0,0.205,70.0,0.4444444444444444,0.34,88.0,14.547711453684665,2.467834387784556,6.0,7.666666666666668,1.0,2.4678343877845554,1545.246666666667,4.304310038720041,179675.83309950173,2.170844288976552,7.11,2.202,132.0,0.0,2482.13,0.1832621185718035,2.0
-0.2863339142647063,0.2931487889273356,0.4035440819624994,0.4035440819624994,4.498269896193771,120.0,4.622949264726267,148.11764705882354,3.8235294117647056,7.853,10.0,10.0,4.0,7.853,1.4705882352941178,1183000.0,2.2,130.0,0.7750865051903115,8.86,0.7325510421226662,18.444537936417515,5.0,3.2260622837370243,642300,1.5294117647058822,5.0,1.0863309352517985,5.0,0.02583,194.0,0.4982698961937717,0.3,96.0,22.60163868319173,2.716293632830768,1.0,8.294117647058824,5.0,2.73668723764036,525.315294117647,4.345607087187034,233703.63967138407,1.751458302124905,8.86,1.062,151.0,0.0,5848.72,0.3344348605158046,1.0
-1.055726969125,0.7020000000000001,1.00461110797207,1.00461110797207,4.03,110.0,5.939345602317882,97.2,3.1,0.0,10.0,10.0,3.0,0.0,1.95,1073595.0,3.44,213.0,0.4800000000000001,7.11,1.16044155558244,75.84545554614598,2.0,0.0,724100,1.65,2.0,2.1515151515151514,3.0,0.02658,12.0,0.4550000000000001,0.26,87.0,24.76746271686596,2.017491648010578,2.0,7.15,3.0,2.0174916480105782,1415.5700000000002,6.692710649904307,390197.407062452,1.9963970071669723,8.28,0.0,176.0,0.0,3877.8,0.2036237234834425,2.0
-3.173528504294872,1.0906508875739649,1.4592936411272692,1.459293641127269,0.7810650887573966,113.0,0.7321909488894747,80.15384615384616,0.4615384615384616,1.97,3.0,3.0,6.0,1.97,2.1538461538461537,1276161.5384615385,3.98,217.0,1.4911242603550297,10.85,2.180007599923256,108.00012666538764,7.0,0.979171597633136,1160800,1.8461538461538465,7.0,2.7642276422764227,7.0,0.02658,15.0,0.2603550295857987,0.34,93.0,39.49591722660126,1.909418173327252,1.0,7.6923076923076925,7.0,1.968941247576467,1190.2138461538464,4.5078955928292,546129.7229691356,1.9502045698197508,10.85,0.985,170.0,0.0,5645.97,0.1854164170531004,1.5
-2.8109884486250003,1.398,1.9070400426152387,1.907040042615239,1.8,163.0,1.5889434299653913,84.1,1.0,1.97,10.0,10.0,4.0,1.97,1.4,1188960.0,3.98,214.0,0.72,11.2,2.6027015528321247,102.9568038972608,0.0,0.9456,1278000,1.7,0.0,2.8508771929824563,5.0,0.0277,15.0,0.42,0.0,93.0,12.12514957078144,2.2440030924999994,1.0,5.8,5.0,2.2440030925,594.118,3.6163992580808375,793674.1344683836,2.246798470746356,11.8,1.97,220.0,0.0,2391.97,0.1315439932868297,1.0
-1.4565476333333331,0.8823668639053255,1.2544901961250683,1.2544901961250687,0.7100591715976331,64.0,0.7854691240687914,119.3846153846154,0.4615384615384616,2.4930000000000003,2.0,2.0,7.0,2.4930000000000003,2.6153846153846154,998276.9230769232,3.16,165.0,2.485207100591716,10.64,1.5389712529988446,55.098970786378366,8.0,1.1801183431952664,755400,1.8461538461538465,8.0,1.5686274509803917,8.0,0.0089,64.0,0.2603550295857988,0.32,94.0,4.341502695134702,2.489975717758053,1.0,5.384615384615384,8.0,2.499247319262023,1146.5292307692307,2.7567279668192834,438772.8292091181,2.5432212404755776,10.64,2.4930000000000003,166.0,2.25333333333e-05,3320.89,0.1617620952011289,1.0
-0.2866268444047614,0.062857142857143,0.1274754878398196,0.1274754878398196,0.0,10.0,0.0,122.42857142857144,10.0,0.4639999999999999,0.0,10.0,2.0,0.4639999999999999,2.571428571428572,799828.5714285715,2.1,213.0,0.653061224489796,18.26,0.1315781814084735,8.722540941581524,0.0,0.2272653061224489,166300,2.0,0.0,1.065217391304348,4.0,3.0,152.0,0.0,0.77,90.0,10.145204801681796,3.191047396894581,16.0,21.428571428571427,4.0,3.236514980106929,1534.2857142857142,7.566034572273192,106243.95781139072,3.1955382947699333,18.26,0.4639999999999999,148.0,0.0,761.0,0.1373654483888341,2.0
-0.2550612363333338,0.4272,0.6293250352560272,0.6293250352560272,2.4,19.0,3.47647139363144,100.0,8.0,0.799,5.0,10.0,4.0,0.799,3.6,825760.0,2.55,215.0,1.92,7.23,0.830371875580019,17.727040040472318,5.0,0.3835199999999999,288100,1.6,5.0,1.1583333333333334,6.0,0.52,14.0,0.4799999999999999,0.21,89.0,9.098288570467377,2.47751488515506,6.0,12.0,6.0,2.49271456806713,1752.4,6.120041739765705,203717.4636598444,2.492682795898004,7.23,0.799,139.0,0.0,1986.0,0.1703081536318306,2.0
-2.3850788056666667,1.0656,1.4895474897222751,1.4895474897222751,1.8,149.0,1.6652120160735726,90.7,1.0,0.4639999999999999,10.0,10.0,2.0,0.4639999999999999,1.4,1034830.0,3.44,217.0,0.8399999999999999,17.36,1.873006613584004,90.48217577874004,0.0,0.08352,811000,2.0,0.0,2.378787878787879,2.0,0.02658,12.0,0.0,0.31,90.0,46.78101190760663,2.12771341,2.0,5.8,2.0,2.12771341,784.52,5.80012047689018,465838.3841767591,2.2021410462355986,20.46,0.0,215.0,0.0,2052.8,0.1157325706574428,2.0
-1.0861835340000006,0.5616,0.8016679041669489,0.8016679041669489,3.3599999999999994,87.0,5.058935687337415,93.0,7.2,0.799,9.0,10.0,7.0,0.799,4.2,802800.0,2.55,215.0,2.64,7.23,0.7876621364851752,17.450019256630796,9.0,0.3835199999999999,402900,1.8,9.0,1.1583333333333334,9.0,0.52,14.0,0.3199999999999999,0.21,89.0,9.24852499922349,2.376913414974075,3.0,11.4,6.0,2.4675610272401007,1912.2,6.398202823030442,231326.7787598932,2.6887979245949434,7.23,0.799,207.0,0.0,2785.0,0.1388225260702024,2.0
