formation_energy,MagpieData avg_dev Electronegativity formula,PymatgenData std_dev X formula,DemlData std_dev electronegativity formula,(coval_r_B_coval_r_X)/(B_ionic_radius),MagpieData avg_dev NdValence formula,MagpieData range CovalentRadius formula,MagpieData mean NdValence formula,local_difference_in_NdValence_allsites,MagpieData maximum NdValence formula,MagpieData range NdValence formula,MagpieData range NUnfilled formula,MagpieData mean SpaceGroupNumber formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _X),MagpieData maximum GSbandgap formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _X),MagpieData mean NUnfilled formula,MagpieData mean NsValence formula,DemlData minimum molar_vol formula,MagpieData avg_dev NUnfilled formula,MagpieData avg_dev NsValence formula,MagpieData mean NValence formula,MagpieData mode SpaceGroupNumber formula,MagpieData minimum NValence formula,density,MagpieData avg_dev GSbandgap formula,local_difference_in_Electronegativity,(MagpieData maximum SpaceGroupNumber _X)+(DemlData minimum molar_vol _B),MagpieData range GSbandgap formula,(MagpieData maximum SpaceGroupNumber _X)/(MagpieData maximum CovalentRadius _B),(coval_r_B_coval_r_X)-(MagpieData mean CovalentRadius _X),local_difference_in_CovalentRadius,Electronegativity_B-6X,DemlData range first_ioniz formula,MagpieData range SpaceGroupNumber formula,DemlData mean boiling_point formula,DemlData mean first_ioniz formula,std_dev ewald_site_energy,MagpieData maximum NdUnfilled formula,MagpieData maximum MendeleevNumber formula,MagpieData range NdUnfilled formula,maximum neighbor distance variation,MagpieData maximum NUnfilled formula,(coval_r_B_coval_r_X)+(MagpieData mean CovalentRadius _X),MagpieData maximum CovalentRadius formula,Electronegativity_B-X,DemlData range boiling_point formula,(coval_r_B_coval_r_X)/(MagpieData mean CovalentRadius _X),mean Average bond length,(B_ionic_radius)/(B_shannon_rad),MagpieData maximum GSmagmom _B
-0.7882975078124996,0.4525,0.5992187896709655,0.5992187896709655,1.9047619047619049,2.75,59.0,2.75,3.895852647234388,10.0,10.0,6.0,149.0,0.06666666666666667,2.202,0.27145592476792946,3.75,1.5,7.11,2.4375,0.5,6.25,70.0,5.0,5.544727327007173,1.101,0.8227399592700281,80.83,2.202,0.4268292682926829,-103.43809523809524,49.57095644225715,-13.88,347500,159.0,2640.31,837525.0,5.847005038165326,6.0,88.0,6.0,0.1852469436942204,7.0,106.56190476190476,164.0,-0.98,4299.13,0.014875283446712018,2.499578306999862,1.210970464135021,0.0
-1.2610448862121215,0.8909090909090908,1.362530962950934,1.362530962950934,2.310396785534907,2.975206611570248,100.0,1.818181818181818,3.1432327881326327,10.0,10.0,1.0,76.9090909090909,0.030303030303030304,0.4639999999999999,0.21965952773201536,1.818181818181818,1.818181818181818,17.36,0.2975206611570249,0.2975206611570249,6.909090909090909,12.0,1.0,4.789796840530999,0.1380495867768595,1.34,32.46,0.4639999999999999,0.08695652173913043,-63.90909090909091,72.0,-18.54,818100,217.0,496.8545454545454,1084318.181818182,58.37937452146847,0.0,90.0,0.0,0.1399050260887385,2.0,68.0909090909091,166.0,-1.3399999999999999,1170.8,0.03168044077134986,2.0337625955653493,1.6160714285714284,0.0
-2.365544261,1.0104,1.4251049568123164,1.4251049568123164,2.8558310376492195,1.28,149.0,0.8,1.3967817626758443,7.0,7.0,9.0,94.9,0.13636363636363635,0.0,0.9884678747940692,2.4,2.0,8.52,1.44,0.0,6.6,12.0,2.0,7.17906319821532,0.0,1.6578624888573787,20.52,0.0,0.07058823529411765,-63.64393939393939,89.42166884632636,-18.86,811000,217.0,1263.12,1040230.0,32.43857746703255,9.0,87.0,9.0,0.1212105826857883,9.0,68.35606060606061,215.0,-1.6599999999999997,4610.8,0.03569788797061524,2.233300433917373,1.2547528517110267,6.35e-06
-1.307285996904762,0.8065306122448979,1.1874943608888662,1.1874943608888662,3.346628157520745,2.8571428571428568,80.0,2.0,3.617337621080251,7.0,7.0,3.0,95.0,0.06060606060606061,0.0,0.4393190554640307,2.4285714285714284,1.5714285714285714,8.17,0.8979591836734693,0.489795918367347,5.857142857142858,12.0,1.0,6.215005892467357,0.0,1.1940752242772918,20.17,0.0,0.0821917808219178,-63.78787878787879,76.47282148410275,-18.44,793700,217.0,1545.9714285714283,1028028.5714285716,20.151627846143924,3.0,87.0,3.0,0.1883270299948404,4.0,68.21212121212122,146.0,-1.2399999999999998,4332.8,0.033516988062442604,2.0300340942632458,0.9720588235294115,0.0
-1.1698219526666669,0.6144000000000001,0.8378914422319381,0.8378914422319381,2.3904382470119523,4.44,80.0,3.7,7.249438948611392,10.0,10.0,2.0,86.8,0.045454545454545456,0.4639999999999999,0.32948929159802304,2.5,2.0,6.67,0.7,0.0,11.7,12.0,6.0,9.078723714569882,0.08352,1.4499944426382745,18.67,0.4639999999999999,0.08695652173913043,-64.0,65.99967957554016,-18.650000000000002,598300,213.0,904.62,1094430.0,26.81787525596659,3.0,90.0,3.0,0.1225225947171872,4.0,68.0,146.0,-1.45,3109.8,0.030303030303030304,2.1626967167026683,1.1155555555555556,1.5484712
-0.2841068133333333,0.3022222222222222,0.4808326112068524,0.4808326112068524,1.5331010452961673,4.444444444444444,27.0,3.333333333333333,6.504583041394671,10.0,10.0,1.0,121.66666666666669,0.009523809523809525,2.202,0.03877941782398992,1.6666666666666667,1.6666666666666667,7.11,0.4444444444444444,0.4444444444444444,7.666666666666668,70.0,6.0,4.304310038720041,0.9786666666666668,0.6800000000000003,77.11,2.202,0.5303030303030303,-103.74285714285715,27.0,-13.58,254100,155.0,1545.246666666667,914900.0,14.547711453684665,0.0,88.0,0.0,0.1832621185718035,2.0,106.25714285714285,132.0,-0.6800000000000002,2482.13,0.011972789115646258,2.170844288976552,1.1232876712328768,0.0
-0.2863339142647063,0.2931487889273356,0.4035440819624994,0.4035440819624994,1.5246749968446296,4.498269896193771,120.0,3.8235294117647056,4.622949264726267,10.0,10.0,4.0,148.11764705882354,0.03597122302158273,7.853,0.1162385214460072,1.4705882352941178,1.5294117647058822,8.86,0.7750865051903115,0.4982698961937717,8.294117647058824,194.0,1.0,4.345607087187034,3.2260622837370243,0.7325510421226662,72.86,7.853,0.423841059602649,-137.9136690647482,18.444537936417515,-14.06,642300,130.0,525.315294117647,1183000.0,22.60163868319173,5.0,96.0,5.0,0.3344348605158046,5.0,140.0863309352518,151.0,-0.7600000000000002,5848.72,0.0078153304694374,1.751458302124905,1.1309523809523807,0.0
-1.055726969125,0.7020000000000001,1.00461110797207,1.00461110797207,2.8879398006914783,4.03,110.0,3.1,5.939345602317882,10.0,10.0,3.0,97.2,0.045454545454545456,0.0,0.32948929159802304,1.95,1.65,7.11,0.4800000000000001,0.4550000000000001,7.15,12.0,2.0,6.692710649904307,0.0,1.16044155558244,20.28,0.0,0.08450704225352113,-63.84848484848485,75.84545554614598,-18.36,724100,213.0,1415.5700000000002,1073595.0,24.76746271686596,2.0,87.0,2.0,0.2036237234834425,3.0,68.15151515151516,176.0,-1.1600000000000001,3877.8,0.032598714416896234,1.9963970071669723,1.2416666666666667,0.0
-3.173528504294872,1.0906508875739649,1.4592936411272692,1.459293641127269,3.3710093198492963,0.7810650887573966,113.0,0.4615384615384616,0.7321909488894747,3.0,3.0,6.0,80.15384615384616,0.11382113821138211,1.97,0.7441860465116279,2.1538461538461537,1.8461538461538465,10.85,1.4911242603550297,0.2603550295857987,7.6923076923076925,15.0,1.0,4.5078955928292,0.979171597633136,2.180007599923256,25.85,1.97,0.08823529411764706,-58.735772357723576,108.00012666538764,-20.759999999999998,1160800,217.0,1190.2138461538464,1276161.5384615385,39.49591722660126,7.0,93.0,7.0,0.1854164170531004,7.0,64.26422764227642,170.0,-2.21,5645.97,0.04494679093132395,1.9502045698197508,1.28125,0.0
-2.8109884486250003,1.398,1.9070400426152387,1.907040042615239,2.5007694675284706,1.8,163.0,1.0,1.5889434299653913,10.0,10.0,4.0,84.1,0.08771929824561403,1.97,0.5150656708730363,1.4,1.7,11.2,0.72,0.42,5.8,15.0,1.0,3.6163992580808375,0.9456,2.6027015528321247,26.8,1.97,0.07389162561576355,-54.14912280701754,102.9568038972608,-22.564999999999998,1278000,214.0,594.118,1188960.0,12.12514957078144,0.0,93.0,0.0,0.1315439932868297,5.0,59.85087719298246,220.0,-2.665,2391.97,0.05001538935056941,2.246798470746356,1.14,0.0
