file_name,formula,formation_energy
ICSD-401590.cif,Zr4 Se16 Cl24,-0.9647128633333334
ICSD-290590.cif,Zn4 Cr8 O16,-1.6860960114285717
ICSD-600773.cif,Cd2 S2,-0.6375040875
ICSD-410389.cif,Co9 F27 Cs9,-2.42414872475
ICSD-279600.cif,Pb4 Ga4 O16 B4,-1.9123803316071428
ICSD-603955.cif,La6 Ni2 Fe2 S14,-1.6386638170833323
ICSD-300182.cif,K12 Sb4 Te12,-0.7914003174999996
ICSD-416326.cif,Ba4 Sc8 Te16,-1.422707069880952
ICSD-608507.cif,Al6 Mn3 S12,-1.0222509705665026
ICSD-281176.cif,Cs2 Cd2 Br6,-1.2891533435
ICSD-652075.cif,Se6 Y3 Tl3,-1.4058502870833334
ICSD-254956.cif,Mo S2,-0.76351538
ICSD-410591.cif,Cs10 Nb4 Cl18 S8,-1.6067408269375
ICSD-433032.cif,Na4 F12 H8,-2.060107371041666
ICSD-619542.cif,Ca8 Si4 S16,-1.7093194757142862
ICSD-254378.cif,Y10 Mo4 O24,-3.1321152273684207
ICSD-281126.cif,Ba6 Li2 Ru4 O18,-1.919066566222223
ICSD-281335.cif,P4 F24 O4 H8 Na4,-2.260625710205628
ICSD-619557.cif,Ca4 Y8 S16,-2.2798809278571426
ICSD-417711.cif,Sc6 Te3 O18,-2.4982096607407405
ICSD-280847.cif,Cs4 Se12 Y4 Zn4,-1.4379984233333338
ICSD-262133.cif,Ba6 N3 F3,-1.7080308686458334
ICSD-633323.cif,Fe2 Ta6 S12,-1.303287361000001
ICSD-653090.cif,Tl20 Te12,-0.2758317628124995
ICSD-616134.cif,Ba4 Y8 Se16,-2.0004869730952386
ICSD-252665.cif,Cd4 Co4 As4 O20 H4,-1.3075647522222222
ICSD-411796.cif,Ag2 Ta2 F12,-2.7906731865625
ICSD-415874.cif,Au3 K3 F18,-1.5078152094791664
ICSD-603954.cif,La6 Co2 Fe2 S14,-1.6839855541666668
ICSD-419852.cif,Li20 O4 Cl12,-1.7211171447685187
ICSD-254299.cif,Ba2 Mg2 O12 F4 Be4 B4,-2.938787280892857
ICSD-420297.cif,Sr2 As4 O12,-1.7828323461111109
ICSD-254992.cif,Ba3 Mg3 O18 C6,-2.1627509068333333
ICSD-633498.cif,Se16 Ti8 Fe4,-1.0719677925000002
ICSD-608317.cif,La6 Ni2 Al2 S14,-1.7666475356250004
ICSD-257025.cif,Li4 Cu4 Bi4 O16,-1.0102077433333332
ICSD-617074.cif,Se9 Bi12,-0.2713596238095238
ICSD-252880.cif,Li Cr Te2,-0.1895442729166668
ICSD-639178.cif,Ta3 S6 Hg3,-0.9227171708333336
ICSD-255100.cif,Sc6 K10 F28,-3.5068520046590907
ICSD-413384.cif,Sr12 Si4 O4,-1.32819365
ICSD-419506.cif,V6 K10 F28,-2.920745296931818
ICSD-414043.cif,Ru2 Br6,-0.4730400225000002
ICSD-267980.cif,Bi8 Rb8 Se20 Zn4,-0.7835098100833335
ICSD-259387.cif,Ba8 Zn4 Os4 O24,-1.8642073557500003
ICSD-650457.cif,Rh4 Te8,-0.4738140969444438
ICSD-620205.cif,Cd4 O4,-1.0261678300000003
ICSD-633475.cif,Se8 Fe4,-0.7779597944444442
ICSD-281433.cif,Cs4 Y4 Cd4 Se12,-1.3814654570833331
ICSD-254188.cif,Ba8 Sc4 Ru4 O24,-2.440360075
ICSD-253809.cif,Cs2 W6 O18,-2.2850589563461536
ICSD-651447.cif,S8 Zn4,-0.5462309708333333
ICSD-418010.cif,La2 I2 P,-1.5795819834523812
ICSD-602931.cif,Sr4 Te4,-1.7455287045833332
ICSD-257373.cif,K6 Si2 F14,-3.0664743169318185
ICSD-262319.cif,Ba8 Ca4 Mo4 O24,-2.723679008250001
ICSD-653098.cif,Te6 Y3 Tl3,-1.0758495854166668
ICSD-409454.cif,Rb12 Fe8 Se16,-0.8565150057407406
ICSD-608513.cif,Y6 Mn2 Al2 S14,-1.8306327330387933
ICSD-403158.cif,Rb8 Bi2 Ag4 Br18,-1.2149898915625004
ICSD-407802.cif,Mn3 Ba6 Te3 O18,-1.849209675896552
ICSD-257115.cif,Cs8 In4 Ag4 Cl24,-1.4000408604999997
ICSD-258893.cif,Ca4 Zr4 F24,-3.9245232490625
ICSD-605619.cif,Ni3 Ag3 Te6,-0.1425752612499996
ICSD-609250.cif,Al12 S18,-1.189612306
ICSD-414041.cif,Ru4 Cl12,-0.7159079759375002
ICSD-616097.cif,Ba2 V2 S6,-1.5624317169999995
ICSD-651015.cif,S4 Sn4,-0.5414801406250005
ICSD-262090.cif,Pb Ti O3,-2.3118241788333336
ICSD-254445.cif,Sc4 Ca4 B4 O16,-3.126702136428572
ICSD-262061.cif,Zr4 W8 O32,-2.536150374772727
ICSD-257144.cif,Sn12 K8 O28,-1.6959888388541664
ICSD-409808.cif,Cs8 Mo4 Cl24,-1.4103795844444444
ICSD-417289.cif,Na12 F4 W4 O16,-2.285353160416667
ICSD-427679.cif,Tl20 Br4 Te8,-0.4450618351041665
ICSD-620305.cif,S8 Cd4,-0.5088257200000003
ICSD-410783.cif,Sr10 P6 O24 S,-2.906159104599304
ICSD-253272.cif,Sr6 Fe4 Te2 O18,-2.0457126711111107
ICSD-424701.cif,Cs6 Ag2 Mn8 O32,-1.459404922640087
ICSD-616124.cif,Ba4 Se4,-2.0483461170833333
ICSD-638863.cif,Sr4 Hf4 S12,-2.0172213080000003
ICSD-434755.cif,Li12 P6 S18,-1.0253263732936508
ICSD-710063.cif,K8 Cd12 Se16,-0.8475121357407408
ICSD-620523.cif,Cd4 Te4,-0.2748003108333332
ICSD-426706.cif,In12 Na4 S20,-0.8383352600000001
ICSD-402399.cif,Li8 Zn4 Cl16,-1.5318456898809525
ICSD-410590.cif,Cs10 Nb4 Br18 S8,-1.4258415153749997
ICSD-258733.cif,Ba6 Ti4 Mn2 O18,-2.7642240411532573
ICSD-281247.cif,Ba6 Li2 Os4 O18,-1.944027045555556
ICSD-628782.cif,Cu2 S4,-0.2952009341666664
