id,formation_energy,EnA/rA-6*EnB/rB,MagpieDatameanNdValenceformula,local_difference_in_NdValence_allsites,local_difference_in_Electronegativity_allsites,MagpieDatamaximumGSbandgapformula,MagpieDataminimumElectronegativityformula,Electronegativity_A-6B,MagpieDatamodeElectronegativityformula,MagpieDatarangeNdValenceformula,MagpieDatarangeNUnfilledformula,MagpieDatamaximumNdValenceformula,MagpieDatarangeCovalentRadiusformula,MagpieDataavg_devNUnfilledformula,MagpieDatameanNsUnfilledformula,MagpieDatamaximumNdUnfilledformula,local_difference_in_Electronegativity,MagpieDatamodeGSvolume_pa_A,MagpieDataavg_devGSbandgapformula,meanneighbordistancevariation,MagpieDatameanNValenceformula,MagpieDatameanNpValenceformula,local_difference_in_GSbandgap_allsites,local_difference_in_CovalentRadius,EnA/SIrA-6*EnB/SIrB,std_devewald_site_energy,EnA/SIrA,density,(EnA-6*EnB)/coval_r_A-6B,ewald_energy_per_atom,MagpieDatameanElectronegativityformula,local_difference_in_CovalentRadius_allsites,MagpieDatameanNUnfilledformula,SIr_A_SIr_B,EnA/rA
0,-0.7882975078124996,-0.13767247386759582,2.75,3.895852647234388,0.6901691401223728,2.202,1.6,-13.88,2.58,10.0,6.0,10.0,59.0,2.4375,0.5,6.0,0.8227399592700281,18.18,1.101,0.11391032626506024,6.25,2.0,1.6491869635212528,49.57095644225715,-6.050174279948633,5.847005038165326,2.3628691983122363,5.544727327007173,-0.02978540772532189,-18.91388639339821,2.1275000000000004,39.51587097772112,3.75,0.36801242236024845,0.00975609756097561
1,-1.2610448862121215,-0.2975098814229249,1.8181818181818181,3.1432327881326327,1.3541895325147666,0.464,0.93,-18.54,3.44,10.0,1.0,10.0,100.0,0.2975206611570249,0.18181818181818185,0.0,1.34,34.7633333333,0.13804958677685952,0.0937154860876363,6.909090909090909,3.272727272727273,0.14584600136935408,72.0,-11.184876989869755,58.37937452146847,3.75,4.789796840530999,-0.07186046511627907,-50.03243141904378,2.74,59.80244495523201,1.8181818181818181,0.4052098408104198,0.015217391304347827
2,-2.365544261,-0.30128032738965216,0.8,1.3967817626758443,1.6711225579341293,0.0,0.89,-18.86,3.44,7.0,9.0,7.0,149.0,1.44,0.0,9.0,1.6578624888573787,14.21,0.0,0.07317378921889164,6.6,2.4,0.0,89.42166884632636,-12.227652655268994,32.43857746703255,2.707224334600761,7.17906319821532,-0.07841995841995841,-35.60284536831904,2.5980000000000003,94.88550545199043,2.4,0.47575976845151957,0.01144694533762058
3,-1.307285996904762,-0.2976587795765878,2.0,3.6173376210802513,1.3052228682718123,0.0,0.98,-18.44,3.44,7.0,3.0,7.0,80.0,0.8979591836734693,0.42857142857142855,3.0,1.1940752242772918,13.51,0.0,0.12864117722021895,5.857142857142858,2.2857142857142856,0.0,76.47282148410275,-11.699582872222695,20.151627846143924,3.235294117647059,6.215005892467357,-0.07376,-33.91897745365468,2.7342857142857144,57.782727000365284,2.4285714285714284,0.49204052098408113,0.015068493150684932
4,-1.1698219526666669,-0.29765151515151517,3.7,7.249438948611393,0.9851974552103872,0.464,1.88,-18.650000000000002,3.44,10.0,2.0,10.0,80.0,0.7,0.0,3.0,1.4499944426382745,10.245,0.08352000000000001,0.07350161408370147,11.7,3.2,0.08290255454391278,65.99967957554016,-12.28154365653642,26.81787525596659,2.6533333333333333,9.078723714569882,-0.0706439393939394,-35.695799216946156,2.928,57.27839809775468,2.5,0.5426917510853836,0.015075757575757576
5,-0.2841068133333333,-0.13303463203463203,3.333333333333333,6.504583041394671,0.4423116468148378,2.202,1.9,-13.58,2.58,10.0,1.0,10.0,27.0,0.4444444444444444,0.3333333333333333,0.0,0.6800000000000003,11.07,0.9786666666666668,0.13059718160177342,7.666666666666668,2.6666666666666665,1.4323091857151062,27.0,-21.030848060232145,14.547711453684665,2.602739726027397,4.304310038720041,-0.027269076305220883,-20.495056124194697,2.353333333333333,17.562374211765608,1.6666666666666667,1.114503816793893,0.014393939393939393
6,-0.2863339142647063,-0.10223736242793845,3.8235294117647056,4.622949264726267,0.3892020864151184,7.853,1.9,-14.06,2.2,10.0,4.0,10.0,120.0,0.7750865051903115,0.4705882352941176,5.0,0.7325510421226662,14.655,3.2260622837370243,0.2143231581663371,8.294117647058824,2.117647058823529,3.1547087727252663,18.444537936417515,-4.238672438672438,22.60163868319173,3.015873015873016,4.345607087187034,-0.020585651537335287,-18.539935464162493,2.4435294117647057,52.25575388501532,1.4705882352941178,0.2863636363636363,0.012582781456953641
7,-1.055726969125,-0.2966709346991037,3.1,5.939345602317883,1.1348662765951092,0.0,1.0,-18.36,3.44,10.0,3.0,10.0,110.0,0.4800000000000001,0.35,2.0,1.16044155558244,13.64,0.0,0.1320984759166463,7.15,2.4,0.0,75.84545554614598,-11.134876989869756,24.76746271686596,3.8,6.692710649904307,-0.07228346456692913,-37.08499078152885,2.855,59.02899839384948,1.95,0.43415340086830684,0.016056338028169012
8,-3.173528504294872,-0.3531276901004304,0.4615384615384616,0.7321909488894747,1.4840316735114605,1.97,0.98,-20.759999999999998,3.98,3.0,6.0,3.0,113.0,1.4911242603550297,0.15384615384615385,7.0,2.180007599923256,18.12,0.9791715976331359,0.1287670930287077,7.6923076923076925,3.2307692307692317,1.1754244417644777,108.00012666538765,-14.217209732167767,39.49591722660126,2.34375,4.5078955928292,-0.10432160804020099,-29.08612797774484,3.0123076923076924,48.10125336767035,2.1538461538461537,0.47614619176043893,0.008823529411764706
9,-2.8109884486250003,-0.41085506072874495,1.0,1.5889434299653913,2.2851095417828646,1.97,0.82,-22.564999999999998,3.98,10.0,4.0,10.0,163.0,0.72,0.3,0.0,2.6027015528321247,18.8575,0.9456,0.08431016182180859,5.8,3.1,1.5226447577399982,102.9568038972608,-16.96633971291866,12.125149570781439,1.315,3.6163992580808375,-0.12571030640668523,-9.414392103914984,2.815,107.275305451963,1.4,0.7655502392344498,0.008092307692307692
10,-1.4565476333333331,-0.17625735294117648,0.4615384615384616,0.7854691240687914,1.343543901964661,2.4930000000000003,0.93,-17.42,3.16,2.0,7.0,2.0,64.0,2.485207100591716,0.15384615384615385,8.0,1.5389712529988446,16.69,1.1801183431952664,0.11223205357897356,5.384615384615384,3.0769230769230766,1.7698198108163523,55.098970786378366,-8.684440447128358,4.341502695134702,1.7906976744186047,2.7567279668192834,-0.03853982300884956,-7.409348292638462,2.443076923076924,43.0781966760273,2.6153846153846154,0.4751381215469613,0.009625
11,-0.28662684440476144,-0.07650842945874003,10.0,0.0,0.104871654973607,0.464,2.02,-10.425,2.1,0.0,2.0,10.0,10.0,0.653061224489796,0.0,0.0,0.13157818140847358,28.11,0.22726530612244894,0.07224902565921189,21.428571428571427,3.4285714285714284,0.3769125141999128,8.722540941581524,-12.17138166203587,10.145204801681796,1.9594594594594592,7.5660345722731925,-0.015308370044052864,-18.9259140347988,2.1100000000000003,7.591291347073968,2.5714285714285716,1.2448598130841124,0.014795918367346938
12,-0.25506123633333383,-0.11555755395683454,8.0,3.47647139363144,0.6188119080663963,0.799,1.66,-13.639999999999999,2.55,5.0,4.0,10.0,19.0,1.92,0.4,5.0,0.830371875580019,11.19,0.38352,0.1181018489725914,12.0,2.4,0.5555401287023041,17.727040040472318,-5.028085735402808,9.098288570467377,2.6991869918699187,6.120041739765705,-0.023476764199655765,-27.383968521066326,2.194,13.21059129579947,3.6,0.3106060606060606,0.011942446043165467
13,-2.3850788056666667,-0.3028546612623046,1.0,1.6652120160735726,1.7581035513170515,0.464,0.89,-19.09,3.44,10.0,2.0,10.0,149.0,0.8399999999999999,0.0,0.0,1.873006613584004,34.7633333333,0.08352000000000001,0.07168542158377995,5.8,2.8,0.07726583754581377,90.48217577874004,-12.947697502690268,46.78101190760663,1.9871794871794872,5.80012047689018,-0.07987447698744769,-38.008913706592324,2.5520000000000005,95.63832544361868,1.4,0.5643994211287989,0.009872611464968152
14,-1.0861835340000006,-0.11555755395683454,7.2,5.058935687337415,0.8417849469897559,0.799,1.1,-13.639999999999999,2.55,9.0,7.0,10.0,87.0,2.64,0.2,9.0,0.7876621364851752,11.19,0.38352,0.07809577828930955,11.4,2.4,0.561545403469745,17.450019256630796,-5.028085735402808,9.24852499922349,2.6991869918699187,6.398202823030442,-0.023476764199655765,-25.15860267145727,2.082,39.616429051440505,4.2,0.3106060606060606,0.011942446043165467
15,-2.737254706111111,-0.40866764814133233,1.1111111111111112,1.6985513172874502,1.7553043012679732,1.97,0.79,-22.41,3.98,10.0,3.0,10.0,187.0,0.5925925925925924,0.2222222222222222,0.0,2.51,23.005,0.8188148148148149,0.12042131580767387,6.4444444444444455,3.5555555555555562,1.1650378361538138,86.0,-16.384565519370273,22.37020612185151,1.896774193548387,3.6985455727653127,-0.11261306532663316,-14.296704777129808,3.0677777777777777,79.35211889351592,1.3333333333333333,0.5933014354066987,0.010279720279720279
16,-1.7903493383333338,-0.08716481294236604,5.0,10.0,1.21,0.464,0.89,-11.71,0.89,10.0,2.0,10.0,77.0,1.0,0.0,0.0,1.21,63.59,0.232,8.098321399485496e-17,9.0,2.0,0.464,77.0,-13.47158186223607,0.0,0.6592592592592592,4.951745512962581,-0.01910277324632953,-14.210867870120964,1.495,77.0,1.0,1.5140186915887852,0.00413953488372093
17,-0.4906501972857143,-0.11363636363636363,7.2,4.457269336921568,0.3556588525335087,1.625,1.83,-13.469999999999999,2.55,10.0,2.0,10.0,25.0,0.72,0.0,4.0,0.7071735762602095,10.73,0.32824000000000003,0.1796543601380852,12.2,3.0,0.539145360179058,12.399515231684456,-4.727272727272727,5.575663513961056,3.0,4.664395527860168,-0.02290816326530612,-25.08016937030811,2.334,8.285272809196055,2.6,0.30808080808080807,0.013863636363636364
18,-1.5255188724999995,-0.13942857142857143,2.75,4.052749426784653,0.9219320997427524,2.202,1.36,-14.120000000000001,2.58,10.0,7.0,10.0,65.0,2.5,0.0,9.0,1.2199999999999998,22.235,1.101,0.08142860897789769,10.5,2.25,1.831951108053792,64.99999999999999,-6.587540122556171,11.746555342663205,1.8255033557046982,5.42141554456823,-0.030695652173913044,-20.02197981606091,2.035,45.12999898921776,4.5,0.40489130434782605,0.008
19,-0.5100044505555553,-0.10402576995600252,10.0,0.0,0.4751483229095094,1.457,2.02,-13.16,2.02,0.0,2.0,10.0,28.0,0.6666666666666666,0.0,0.0,0.4921009237165019,32.95,0.5444444444444444,0.1075390203194058,20.666666666666668,4.0,0.7731833729404958,18.478222211904736,-8.685240562210256,9.389390772535538,1.9611650485436893,6.0744984457490645,-0.021022364217252395,-15.638298409927405,2.36,14.975622330108706,2.0,0.7223845704266512,0.013648648648648648
20,-0.19334817666666645,-0.0732718173287457,10.0,0.0,0.2166982562744544,0.799,2.05,-10.2,2.05,0.0,1.0,10.0,19.0,0.4799999999999999,0.0,0.0,0.042357914386617714,34.7633333333,0.32992000000000005,0.11465157093670578,15.6,3.6,0.4742878832937251,0.8782189430424854,-13.688338073953679,8.284622759052688,2.355140186915888,5.69799344945153,-0.014655172413793103,-22.0732915057187,2.26,7.9346023070561,2.4,1.1630434782608696,0.015217391304347827
21,-0.3498010542187502,-0.11339928057553957,10.0,0.0,0.6399038573850885,0.799,1.62,-13.34,1.62,0.0,3.0,10.0,25.0,1.3125,0.0,0.0,0.5145974904429147,33.285,0.37453125,0.05072421346252036,21.25,2.25,0.5786736535637069,15.079069503031572,-4.861775651249335,5.694306354386091,2.865497076023392,8.411536526958821,-0.02296041308089501,-9.373001150710245,2.01125,17.512427890415,3.75,0.3454545454545454,0.014100719424460431
22,-0.6807551049999998,-0.1314696673189824,5.0,10.0,0.25,2.202,2.33,-13.15,2.33,10.0,2.0,10.0,41.0,1.0,0.0,0.0,0.25,28.11,1.101,1.6376118341395468e-16,17.0,3.0,2.202,41.0,-6.455060284983558,1.7763568394002505e-15,1.957983193277311,7.399742718859812,-0.027169421487603308,-16.808245592127033,2.455,41.0,3.0,0.6467391304347826,0.015958904109589042
23,-1.4757923255555558,-0.13780357142857144,0.6666666666666666,1.1504108282629069,0.5982136306967116,2.202,1.54,-13.940000000000001,2.58,2.0,6.0,2.0,55.0,2.6666666666666665,0.0,8.0,1.0186119101547004,16.69,0.9786666666666668,0.12295825987163513,5.333333333333333,2.6666666666666665,1.2666023219174607,53.868899094719744,-5.867588932806324,17.431738145583253,2.5454545454545454,2.946245678909849,-0.02965957446808511,-34.184519476233724,2.2333333333333334,31.63629777722994,4.0,0.3288043478260869,0.009625
24,-3.080169875989584,-0.40932236842105263,0.25,0.41727050279858574,2.025883803421141,1.97,0.82,-22.34,3.98,2.0,7.0,2.0,146.0,1.53125,0.25,8.0,2.4399999999999995,16.69,0.9234375,0.07033445927418512,5.125,3.125,1.3566200421912675,103.0,-15.982832250232095,12.738188059398654,2.298507462686567,2.8407990083205275,-0.12274725274725275,-10.383321435971071,2.885,91.57006802735584,1.875,0.5129186602870814,0.009625
25,-0.312413291285714,-0.11576388888888889,8.0,2.960308814278504,0.3892617308737949,1.625,1.69,-13.61,2.55,10.0,3.0,10.0,37.0,0.72,0.0,0.0,0.7832667596170236,19.495,0.32824000000000003,0.168661992342072,13.0,3.0,0.5176850987939482,22.740065199811287,-5.948325358851674,12.386846724320042,1.7789473684210526,4.588091381654502,-0.02362847222222222,-24.18180160699304,2.306,12.053565635819938,1.8,0.4797979797979798,0.01173611111111111
26,-2.7028377160000003,-0.2978066378066378,1.6,2.9724375300067374,1.3883826134472088,0.0,1.36,-18.76,3.44,7.0,7.0,7.0,104.0,2.16,0.0,9.0,1.548574291019069,10.245,0.0,0.10531874331851132,6.0,2.4,0.0,59.82421986183183,-11.485335705466085,13.654088039601145,3.4495412844036695,5.203077537805491,-0.06948148148148149,-35.3030156696545,2.712,62.922192112482044,3.6,0.39435600578871205,0.01492063492063492
27,-1.712967010000001,-0.3042354694485842,1.25,2.405405020485593,1.8292337765829323,0.0,0.93,-19.345,3.44,5.0,5.0,5.0,100.0,1.625,0.5,5.0,1.825014315099441,11.19,0.0,0.07216170430626223,4.75,2.0,0.0,73.75156633862319,-13.350779130542538,14.660717618703579,1.584097859327217,4.382360574422522,-0.07944558521560574,-26.234362142491857,2.3675,73.8802515178172,2.75,0.591534008683068,0.008491803278688525
28,-2.1611467852777784,-0.40831822934820494,1.0,1.635552748016167,1.6105283004291948,1.97,0.93,-22.275,3.98,9.0,1.0,9.0,109.0,0.19753086419753088,0.3333333333333333,1.0,2.6,15.02,0.8755555555555554,0.11231131487771934,7.555555555555554,3.333333333333333,1.1987037996341938,99.0,-16.329971931763648,20.660510466682343,1.9513677811550152,4.357056613903268,-0.11662303664921465,-13.679364976327676,3.1133333333333333,60.872377892464115,1.1111111111111112,0.6296650717703349,0.010629139072847682
29,-0.9518745544444442,-0.08370434782608697,7.333333333333332,4.47728746633542,0.4309389186347841,0.464,1.33,-11.270000000000001,2.1,8.0,6.0,10.0,37.0,2.6666666666666665,0.0,8.0,0.7082445757058669,23.195,0.20622222222222225,0.11681587264076425,12.0,2.6666666666666665,0.25968267304745435,34.0325315598923,-12.283618899273108,14.859363905826173,1.8472222222222223,5.7514458162027084,-0.017258805513016846,-27.32523664628749,1.8433333333333333,20.707454531801318,4.0,0.8074766355140187,0.0076
30,-0.6695844695312498,-0.133327852004111,2.5,4.582707404372335,0.6956350922707296,2.202,0.82,-13.52,2.58,10.0,3.0,10.0,98.0,0.625,0.125,0.0,0.6153000428918907,33.285,1.0321875,0.16702346620646694,7.5,3.125,1.5700444145157226,33.742260416652066,-5.5724637681159415,27.924815729280013,2.8405797101449277,2.8710824901410823,-0.027535641547861506,-31.2066508764537,2.2325,36.73443621068368,2.25,0.37499999999999994,0.014100719424460431
31,-2.3754064209782606,-0.2986265533028123,2.739130434782609,5.066053461788363,1.3801258622003707,0.0,1.1,-18.68,3.44,10.0,7.0,10.0,141.0,2.011342155009452,0.0,9.0,1.48,33.285,0.0,0.15038147249902706,7.478260869565218,2.739130434782609,0.0,73.0,-12.094297279724827,15.846439141672766,2.8405797101449277,5.759867561920867,-0.07268482490272374,-34.66489948561252,2.71608695652174,65.09548798360697,3.652173913043478,0.4992764109985528,0.014100719424460431
32,-1.3338025257142847,-0.3015548589341693,2.8571428571428568,5.510423913141878,1.6557071489305542,0.0,1.0,-19.02,3.44,10.0,5.0,10.0,110.0,1.3877551020408163,0.0,0.0,1.7918040036768417,26.91,0.0,0.10083095761472197,11.428571428571427,2.5714285714285716,0.0,77.82317480482921,-13.104368515293483,10.151711608611004,1.8305084745762712,8.439708126191068,-0.07577689243027888,-27.881538491824692,2.5714285714285716,73.00235344804939,2.5714285714285716,0.6403762662807526,0.011172413793103448
33,-0.07939836000000018,-0.11555755395683454,8.75,2.044274184289373,0.5249443181765544,0.799,1.66,-13.639999999999999,2.55,5.0,5.0,10.0,25.0,1.625,0.5,5.0,0.7806918224147105,11.19,0.3995,0.0984132270284482,12.25,2.0,0.5342391230124481,16.666470451593028,-5.028085735402808,11.236137653749031,2.6991869918699187,6.926719214142076,-0.023476764199655765,-20.499453787067303,2.1725,14.26309217398123,2.75,0.3106060606060606,0.011942446043165467
34,-2.7208274902499996,-0.303903743315508,0.6,1.0814282007197,1.7420713836484034,0.0,0.93,-19.14,3.44,3.0,6.0,3.0,104.0,1.6799999999999995,0.2,7.0,1.9396098147149807,18.12,0.0,0.0923977682360322,7.6,2.4,0.0,103.97151932226141,-12.591126989869755,44.1388387436811,2.34375,6.807697359179884,-0.08469026548672566,-42.14655898622701,2.55,79.02873686724806,2.8,0.46309696092619396,0.008823529411764706
35,-2.0928242500833334,-0.40354414261460103,1.6,2.7964058349528385,2.078487736774921,1.97,0.79,-21.97,3.98,8.0,1.0,8.0,187.0,0.32,0.2,2.0,2.06645442698262,10.32,0.9456,0.08365347542722491,6.4,3.0,1.5237085528584895,67.1863020261347,-15.513223770889676,6.456035459890926,2.768115942028986,5.3710605823388855,-0.10077981651376146,-8.552931400364049,2.9279999999999995,102.97515692986023,1.2,0.5282296650717704,0.015403225806451612
36,-0.3491245541666667,-0.11200184501845019,10.0,0.0,0.3101022355377555,0.799,2.0,-13.2,2.55,0.0,2.0,10.0,19.0,1.0,0.0,0.0,0.3897285961628281,14.41,0.3995,0.11671739325401155,15.666666666666664,2.0,0.5517104905981829,12.951532247485964,-5.493230174081237,2.9593713280331544,2.2340425531914896,8.433800017915404,-0.022583404619332764,-16.32360652678624,2.341666666666667,12.625298936853518,1.0,0.47474747474747475,0.015498154981549815
37,-0.5372064294047625,-0.2761393704379562,0.0,0.0,1.0220402946579243,7.853,0.98,-18.46,3.04,0.0,2.0,0.0,97.0,0.8571428571428571,0.42857142857142855,0.0,2.073629095821069,16.5933333333,2.8585306122448984,0.3100349511512978,3.4285714285714284,1.8571428571428568,2.8228901633523598,59.13886121169204,-20.388809003272048,9.204462038111094,1.2894736842105263,1.6002529070895817,-0.0652296819787986,-8.046790064257113,2.5628571428571427,33.17245843613304,2.0,0.8475048787287427,0.00765625
38,-0.4304639161111107,-0.07623585467540203,9.0,1.8788184085366029,0.06262728028455349,0.464,2.1,-10.400000000000002,2.1,3.0,2.0,10.0,8.0,0.8888888888888888,0.3333333333333333,3.0,0.10000000000000007,13.51,0.20622222222222225,0.1064603103986842,13.333333333333336,2.6666666666666665,0.290590580520328,8.0,-10.582454024721136,22.668809202784114,3.548387096774194,8.414148631423265,-0.015249266862170091,-34.29215981625892,2.1333333333333333,5.0101824227642755,2.6666666666666665,0.6953271028037383,0.015068493150684932
39,-2.5973773892500005,-0.3029711751662971,0.8,1.444032069630809,1.701553444311756,0.0,0.93,-19.04,3.44,4.0,6.0,4.0,100.0,1.6799999999999995,0.4,6.0,1.83780255133681,18.18,0.0,0.10187716414402784,4.8,2.4,0.0,97.8196965199434,-12.434876989869755,44.14191597268025,2.5,4.453035891287372,-0.08206896551724138,-42.218716431454894,2.5700000000000003,76.6729672837648,2.8,0.46309696092619396,0.00975609756097561
40,-0.3129730494444451,-0.11555755395683454,8.333333333333334,2.467779324513017,0.4392647197633171,0.799,1.66,-13.639999999999999,2.55,5.0,4.0,10.0,19.0,1.777777777777778,0.3333333333333333,5.0,0.7575070229756321,11.19,0.3551111111111111,0.12612273001665086,12.666666666666664,2.6666666666666665,0.39435113605718025,16.171498243300007,-4.709090909090909,13.593772473568404,3.0181818181818176,5.4808191408641465,-0.023476764199655765,-31.238217676862522,2.2533333333333334,9.377561433149467,3.333333333333333,0.2777777777777778,0.011942446043165467
41,-1.782106157799215,-0.35080014037550444,1.1111111111111112,2.0848571408351635,1.4302935156813246,7.853,1.55,-20.709999999999997,3.44,5.0,4.0,5.0,108.0,1.2592592592592593,0.1111111111111111,5.0,2.1463208504977582,10.487586206900001,1.6565432098765431,0.135448848921686,5.777777777777778,2.7777777777777777,2.5317599266460338,77.78290758021956,-14.247526896346871,39.51407398710647,2.3134328358208953,3.9483572676624688,-0.09004347826086956,-33.26068582127594,2.8633333333333333,49.10953742373517,2.4444444444444446,0.49846554449920955,0.011151079136690648
42,-0.32632703861111106,-0.11397540983606558,10.0,0.0,0.5813190966459952,0.799,1.65,-13.649999999999999,2.55,0.0,2.0,10.0,2.0,0.8888888888888891,0.0,0.0,0.8999999999999997,13.96,0.3551111111111111,0.12322152125418225,14.666666666666664,2.6666666666666665,0.5160821758001669,2.0,-17.015553289138197,5.8811883903757955,2.22972972972973,5.763377501563463,-0.022826086956521736,-8.481966163106247,2.25,1.2918202147688784,1.3333333333333333,0.9308176100628932,0.013524590163934426
43,-0.9647748735606062,-0.17828235294117648,3.8181818181818175,4.685538838029398,0.5391296763352613,2.4930000000000003,1.33,-17.630000000000003,3.16,10.0,7.0,10.0,73.0,1.0909090909090908,0.0,8.0,1.83,23.195,0.9192396694214876,0.1503483739883353,10.0,4.181818181818182,1.1132175713773795,73.0,-8.62791589932474,4.787930409272123,1.8472222222222223,2.9296753284970203,-0.04034324942791762,-4.222506737412505,2.771818181818182,18.726615939339027,2.0,0.39779005524861877,0.0076
